fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1.3,left,1,0.8916,0,0,0,0,1,stim/upper.png,stim/congLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
1.2,right,1,0.4582,0,1,1,10,1,stim/centre.png,stim/congRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.75,left,1,0.6553,0,2,2,16,1,stim/upper.png,stim/incongLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.7,left,1,0.784,0,3,3,18,1,stim/centre.png,stim/incongLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.4,right,1,0.9523,0,4,4,21,1,stim/both.png,stim/incongLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
1.2,right,1,0.6843,0,5,5,7,1,stim/blank.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.75,left,1,0.6065,0,6,6,12,1,stim/lower.png,stim/congRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.4,left,1,0.8608,0,7,7,14,1,stim/centre.png,stim/congRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.7,right,1,0.4969,0,8,8,4,1,stim/lower.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
1.2,left,1,0.6177,0,9,9,1,1,stim/both.png,stim/congLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.4,left,1,0.5516,0,10,10,13,1,stim/both.png,stim/congRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.85,right,1,0.9512,0,11,11,20,1,stim/lower.png,stim/incongLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.95,right,1,0.6745,0,12,12,5,1,stim/both.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.5,left,1,0.5749,0,13,13,15,1,stim/blank.png,stim/congRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
1,right,1,0.6615,0,14,14,8,1,stim/upper.png,stim/congRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
1.1,right,1,0.6423,0,15,15,9,1,stim/both.png,stim/congRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.55,left,1,1.0128,0,16,16,19,1,stim/blank.png,stim/incongLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
0.65,left,1,0.6683,0,17,17,2,1,stim/centre.png,stim/congLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
1.35,right,1,0.6678,0,18,18,6,1,stim/centre.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,,,,,,,,,,
