fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
1.25,right,1,0.6137,0,0,0,10,1,stim/centre.png,stim/congRight.png,right,0,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
0.75,right,1,0.4696,0,1,1,6,1,stim/centre.png,stim/congLeft.png,right,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
0.75,left,1,0.4895,0,2,2,0,1,stim/upper.png,stim/congLeft.png,left,0,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
0.95,left,1,0.4238,0,3,3,12,1,stim/lower.png,stim/congRight.png,left,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
1.05,right,1,0.4891,0,4,4,9,1,stim/both.png,stim/congRight.png,right,0,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
1,left,1,0.4401,0,5,5,1,1,stim/both.png,stim/congLeft.png,left,0,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
1.05,left,1,0.4587,0,6,6,2,1,stim/centre.png,stim/congLeft.png,left,0,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
1.2,right,1,0.3665,0,7,7,4,1,stim/lower.png,stim/congLeft.png,right,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
1.2,right,0,0.399,0,8,8,18,1,stim/centre.png,stim/incongLeft.png,left,0,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
0.8,left,0,0.4625,0,9,9,21,1,stim/both.png,stim/incongLeft.png,right,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
1.2,right,1,0.5533,0,10,10,20,1,stim/lower.png,stim/incongLeft.png,right,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
1.25,left,1,0.6023,0,11,11,17,1,stim/both.png,stim/incongLeft.png,left,0,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
0.4,left,1,0.5287,0,12,12,13,1,stim/both.png,stim/congRight.png,left,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
0.5,right,1,0.4353,0,13,13,5,1,stim/both.png,stim/congLeft.png,right,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
0.45,right,1,1.2359,0,14,14,7,1,stim/blank.png,stim/congLeft.png,right,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
1.4,right,1,0.6497,0,15,15,11,1,stim/blank.png,stim/congRight.png,right,0,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
0.9,right,1,0.7226,0,16,16,23,1,stim/blank.png,stim/incongLeft.png,right,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
1.3,left,0,0.4215,0,17,17,22,1,stim/centre.png,stim/incongLeft.png,right,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
0.85,,0,,0,18,18,15,1,stim/blank.png,stim/congRight.png,left,180,0,001,2022-02-17_13h11.05.123,ANT,2021.2.3,Win32,59.87306909
