fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
0.9,,0,0,0,0,21,1,stim/both.png,stim/incongLeft.png,right,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1,,0,0,1,1,4,1,stim/lower.png,stim/congLeft.png,right,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.45,,0,0,2,2,5,1,stim/both.png,stim/congLeft.png,right,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.85,,0,0,3,3,22,1,stim/centre.png,stim/incongLeft.png,right,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1.15,,0,0,4,4,17,1,stim/both.png,stim/incongLeft.png,left,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.5,,0,0,5,5,14,1,stim/centre.png,stim/congRight.png,left,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.5,,0,0,6,6,0,1,stim/upper.png,stim/congLeft.png,left,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1.15,,0,0,7,7,10,1,stim/centre.png,stim/congRight.png,right,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1.2,,0,0,8,8,23,1,stim/blank.png,stim/incongLeft.png,right,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.5,,0,0,9,9,19,1,stim/blank.png,stim/incongLeft.png,left,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.95,,0,0,10,10,9,1,stim/both.png,stim/congRight.png,right,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1,,0,0,11,11,18,1,stim/centre.png,stim/incongLeft.png,left,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.4,,0,0,12,12,2,1,stim/centre.png,stim/congLeft.png,left,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.75,,0,0,13,13,6,1,stim/centre.png,stim/congLeft.png,right,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1.35,,0,0,14,14,15,1,stim/blank.png,stim/congRight.png,left,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.45,,0,0,15,15,3,1,stim/blank.png,stim/congLeft.png,left,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1.1,,0,0,16,16,16,1,stim/upper.png,stim/incongLeft.png,left,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.45,,0,0,17,17,8,1,stim/upper.png,stim/congRight.png,right,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.55,,0,0,18,18,11,1,stim/blank.png,stim/congRight.png,right,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1,,0,0,19,19,20,1,stim/lower.png,stim/incongLeft.png,right,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1.35,,0,0,20,20,1,1,stim/both.png,stim/congLeft.png,left,0,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
0.95,,0,0,21,21,7,1,stim/blank.png,stim/congLeft.png,right,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1.2,,0,0,22,22,12,1,stim/lower.png,stim/congRight.png,left,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
1.35,,0,0,23,23,13,1,stim/both.png,stim/congRight.png,left,180,1,001,2022-03-11_12h57.12.147,ANT,2021.2.3,Linux x86_64,60.0024001
