fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt
0.5,,0,0,0,0,13,1,stim/both.png,stim/congRight.png,left,180,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,
1.45,left,1,0,1,1,15,1,stim/blank.png,stim/congRight.png,left,180,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,0.591
0.85,right,0,0,2,2,17,1,stim/both.png,stim/incongLeft.png,left,0,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,0.658
1.2,,0,0,3,3,16,1,stim/upper.png,stim/incongLeft.png,left,0,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,
1.15,,0,0,4,4,9,1,stim/both.png,stim/congRight.png,right,0,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,
1.3,,0,0,5,5,6,1,stim/centre.png,stim/congLeft.png,right,180,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,
1.25,,0,0,6,6,19,1,stim/blank.png,stim/incongLeft.png,left,0,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,
0.65,,0,0,7,7,2,1,stim/centre.png,stim/congLeft.png,left,0,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,
1.55,,0,0,8,8,7,1,stim/blank.png,stim/congLeft.png,right,180,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,
1.05,,0,0,9,9,4,1,stim/lower.png,stim/congLeft.png,right,180,Eve,1,2022-04-15_12h21.24.956,ANT,2021.2.3,MacIntel,62.5,
