fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1.2,left,1,1.3694,0,0,0,3,1,stim/blank.png,stim/congLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
0.9,left,1,0.867,0,1,1,17,1,stim/both.png,stim/incongLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
1,left,1,0.5335,0,2,2,13,1,stim/both.png,stim/congRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
1.15,left,1,0.7178,0,3,3,18,1,stim/centre.png,stim/incongLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
0.8,right,1,0.652,0,4,4,10,1,stim/centre.png,stim/congRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
0.4,left,1,0.6141,0,5,5,19,1,stim/blank.png,stim/incongLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
0.95,right,1,0.8026,0,6,6,23,1,stim/blank.png,stim/incongLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
1.55,left,1,0.7633,0,7,7,16,1,stim/upper.png,stim/incongLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
0.95,left,1,0.5367,0,8,8,0,1,stim/upper.png,stim/congLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
1.3,,0,,0,9,9,7,1,stim/blank.png,stim/congLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
