fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
1.35,left,1,0.9227,0,0,0,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.25,left,1,0.7479,0,1,1,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.55,left,1,1.5129,0,2,2,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1,right,1,1.0864,0,3,3,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.4,right,1,1.0042,0,4,4,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
0.4,left,1,0.9037,0,5,5,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.5,right,1,1.0432,0,6,6,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
0.65,left,1,0.8084,0,7,7,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.05,right,1,0.913,0,8,8,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.55,left,1,0.6446,0,9,9,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
0.5,right,1,0.91,0,10,10,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.1,right,1,0.7879,0,11,11,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.55,left,1,0.7862,0,12,12,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.25,right,1,0.7801,0,13,13,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
0.55,right,0,0.4552,0,14,14,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
0.45,left,1,0.6043,0,15,15,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
0.85,right,1,0.7017,0,16,16,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.15,right,1,0.7856,0,17,17,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.35,left,1,0.8513,0,18,18,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.15,right,1,0.7616,0,19,19,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1.35,right,1,1.1598,0,20,20,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
1,left,1,0.5942,0,21,21,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
0.7,left,1,0.6419,0,22,22,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
0.45,right,1,0.66,0,23,23,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-05-11_12h20.39.723,ANT,2021.2.3,Win32,59.97361161
