fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.85,left,1,1.273999929,1,0,24,14,1,23,stim/centre.png,stim/congRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
1.35,right,1,0.59100008,1,0,24,10,1,23,stim/centre.png,stim/congRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
0.7,left,1,0.542000055,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
0.4,right,1,0.523999929,1,0,24,6,1,23,stim/centre.png,stim/congLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
1.1,left,1,0.59100008,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
0.75,left,1,0.674000025,1,0,24,12,1,23,stim/lower.png,stim/congRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
0.5,right,1,0.625,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
0.6,right,1,0.791000128,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
0.9,right,1,0.640000105,1,0,24,9,1,23,stim/both.png,stim/congRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
1.2,left,0,0.457999945,1,0,24,20,1,23,stim/lower.png,stim/incongLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
1.55,left,1,0.608999968,1,0,24,1,1,23,stim/both.png,stim/congLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,,,,,,,,,,,,
