keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,3.0854,,,,,,,,1.7854,space,20.8497,0,0,0,3,1,1.3,images/target_cross.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,,,,,
b,1,2.3942,,,,,,,,0.8942,space,7.4333,0,1,1,4,1,1.5,images/target_plus.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,,,,,
v,1,1.7831,,,,,,,,0.4831,space,5.5251,0,2,2,8,1,1.3,images/target_square.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,,,,,
b,1,1.9016,,,,,,,,0.8016,space,2.816,0,3,3,7,1,1.1,images/target_plus.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,,,,,
c,1,1.9701,,,,,,,,0.4701,space,2.1171,0,4,4,6,1,1.5,images/target_cross.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,,,,,
v,0,2.053,,,,,,,,0.753,space,5.6281,0,5,5,1,1,1.3,images/target_plus.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,,,,,
c,1,1.819,,,,,,,,0.719,space,2.0586,0,6,6,0,1,1.1,images/target_cross.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,,,,,
v,1,2.4267,,,,,,,,1.3267,space,2.05,0,7,7,5,1,1.1,images/target_square.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,,,,,
v,1,1.9359,,,,,,,,0.4359,space,1.5352,0,8,8,2,1,1.5,images/target_square.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,,,,,
v,1,2.1265,,,,,,,,0.6265,,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,-0.006510417,-0.264322917,1,0,0,0,0,0,2,1
c,1,1.8603,,,,,,,,0.7603,,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,0,1,1,0,1
c,1,2.0589,,,,,,,,0.7589,,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-03_23h43.21.460,choiceRTT,2021.2.3,Win32,60.18657839,,,,,,,0,2,2,3,1
