keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,6.5012,,,,,,,,5.2012,,0,0,0,3,1,1.3,images/target_cross.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,
c,1,2.3111,,,,,,,,0.8111,,0,1,1,6,1,1.5,images/target_cross.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,
b,1,3.7262,,,,,,,,2.2262,space,0,2,2,4,1,1.5,images/target_plus.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,1.1519,,,,,,,,,,,,
v,1,2.9187,,,,,,,,1.4187,space,0,3,3,2,1,1.5,images/target_square.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,1.0322,,,,,,,,,,,,
c,1,2.6391,,,,,,,,1.5391,space,0,4,4,0,1,1.1,images/target_cross.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,1.9178,,,,,,,,,,,,
b,1,2.9953,,,,,,,,1.8953,space,0,5,5,7,1,1.1,images/target_plus.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,4.0017,,,,,,,,,,,,
c,0,2.4591,,,,,,,,1.3591,space,0,6,6,5,1,1.1,images/target_square.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,0.5663,,,,,,,,,,,,
b,0,8.6086,,,,,,,,7.3086,space,0,7,7,8,1,1.3,images/target_square.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,57.2037,,,,,,,,,,,,
v,0,6.9761,,,,,,,,5.6761,space,0,8,8,1,1,1.3,images/target_plus.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,0.5686,,,,,,,,,,,,
v,1,3.0753,,,,,,,,1.9753,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-04_08h13.34.561,choiceRTT,2021.2.3,Win32,59.90534955,,space,2.51,0.174831081,0.143581081,0,0,0,0,0,0,5,1
