keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.005208333,-0.24609375,1,0,0,14.6917,square_button,0,13.1917,space,43.8779,0,0,0,4,1,1.5,images/target_plus.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,,,,,,,,,,,,,
c,1,,,,,,,,,6.7228,space,33.2162,0,1,1,3,1,1.3,images/target_cross.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,8.0228,,,,,,,,,,,,
b,1,,,,,,,,,9.2396,space,3.6647,0,2,2,7,1,1.1,images/target_plus.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,10.3396,,,,,,,,,,,,
v,1,,,,,,,,,2.2046,space,2.6064,0,3,3,8,1,1.3,images/target_square.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,3.5046,,,,,,,,,,,,
v,1,,,,,,,,,1.9276,space,66.0298,0,4,4,5,1,1.1,images/target_square.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,3.0276,,,,,,,,,,,,
b,1,,,,,,,,,1.1234,space,5.185,0,5,5,1,1,1.3,images/target_plus.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,2.4234,,,,,,,,,,,,
v,0,,,,,,,,,1.9515,space,3.5483,0,6,6,0,1,1.1,images/target_cross.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,3.0515,,,,,,,,,,,,
v,0,,,,,,,,,0.5391,space,2.4259,0,7,7,6,1,1.5,images/target_cross.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,2.0391,,,,,,,,,,,,
v,1,,,,,,,,,1.0777,space,1.6108,0,8,8,2,1,1.5,images/target_square.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,2.5777,,,,,,,,,,,,
c,1,,,,,,,,,1.5411,,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-06_22h07.45.710,choiceRTT,2021.2.3,Win32,60.55834797,2.6411,space,6.0717,-0.005208333,-0.24609375,0,0,0,0,0,0,0,1
