keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,2.9516,,,,,,,,1.4516,space,1.6386,0,0,0,4,1,1.5,images/target_plus.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,,,,,
v,1,2.4723,,,,,,,,1.3723,space,0.7515,0,1,1,5,1,1.1,images/target_square.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,,,,,
b,1,2.1498,,,,,,,,0.8498,space,1.2269,0,2,2,1,1,1.3,images/target_plus.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,,,,,
c,1,2.4532,,,,,,,,0.9532,space,0.9707,0,3,3,6,1,1.5,images/target_cross.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,,,,,
c,1,1.8243,,,,,,,,0.5243,space,0.7246,0,4,4,3,1,1.3,images/target_cross.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,,,,,
c,1,1.5464,,,,,,,,0.4464,space,0.6959,0,5,5,0,1,1.1,images/target_cross.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,,,,,
c,0,1.6076,,,,,,,,0.5076,space,0.7965,0,6,6,7,1,1.1,images/target_plus.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,,,,,
v,1,2.0551,,,,,,,,0.7551,space,1.2649,0,7,7,8,1,1.3,images/target_square.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,,,,,
v,1,2.3798,,,,,,,,0.8798,space,0.6186,0,8,8,2,1,1.5,images/target_square.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,,,,,
b,1,2.291,,,,,,,,0.791,,,,,,,,1.5,images/target_plus.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,space,2.5088,-0.034166667,0.07,0,0,0,0,0,0,4,1
b,1,1.8922,,,,,,,,0.5922,,,,,,,,1.3,images/target_plus.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,0,1,1,1,1
b,1,1.5778,,,,,,,,0.4778,,,,,,,,1.1,images/target_plus.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,0,2,2,7,1
v,1,1.8953,,,,,,,,0.7953,,,,,,,,1.1,images/target_square.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,0,3,3,5,1
c,1,2.2967,,,,,,,,0.7967,,,,,,,,1.5,images/target_cross.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,0,4,4,6,1
v,1,2.1873,,,,,,,,0.6873,,,,,,,,1.5,images/target_square.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,0,5,5,2,1
b,0,2.211,,,,,,,,0.911,,,,,,,,1.3,images/target_cross.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,0,6,6,3,1
c,1,1.5807,,,,,,,,0.4807,,,,,,,,1.1,images/target_cross.jpg,999,001,2022-05-10_15h44.22.262,choiceRTT,2021.2.3,Win32,60.15037594,,,,,,,,0,7,7,0,1
