keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,11.0867,,,,,,,,9.9867,c,1.1227,0,0,0,5,1,1.1,images/target_square.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,,,,,
b,1,2.6026,,,,,,,,1.3026,b,1.0259,0,1,1,1,1,1.3,images/target_plus.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,,,,,
c,1,1.6866,,,,,,,,0.5866,space,0.6223,0,2,2,0,1,1.1,images/target_cross.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,,,,,
v,1,2.1553,,,,,,,,0.6553,space,0.3891,0,3,3,2,1,1.5,images/target_square.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,,,,,
c,0,1.5994,,,,,,,,0.4994,space,0.4344,0,4,4,7,1,1.1,images/target_plus.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,,,,,
c,1,2.1031,,,,,,,,0.6031,space,0.2155,0,5,5,6,1,1.5,images/target_cross.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,,,,,
b,1,2.1616,,,,,,,,0.6616,space,0.1169,0,6,6,4,1,1.5,images/target_plus.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,,,,,
v,1,1.8823,,,,,,,,0.5823,space,0.1312,0,7,7,8,1,1.3,images/target_square.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,,,,,
c,1,1.921,,,,,,,,0.621,space,0.1523,0,8,8,3,1,1.3,images/target_cross.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,,,,,
b,1,1.6642,,,,,,,,0.5642,,,,,,,,1.1,images/target_plus.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,space,1.5893,0.514676662,-0.142972747,0,0,0,0,0,0,7,1
c,1,1.7755,,,,,,,,0.4755,,,,,,,,1.3,images/target_cross.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,0,1,1,3,1
v,1,2.0219,,,,,,,,0.5219,,,,,,,,1.5,images/target_square.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,0,2,2,2,1
v,1,1.6731,,,,,,,,0.5731,,,,,,,,1.1,images/target_square.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,0,3,3,5,1
c,0,1.6877,,,,,,,,0.3877,,,,,,,,1.3,images/target_square.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,0,4,4,8,1
b,1,1.9704,,,,,,,,0.6704,,,,,,,,1.3,images/target_plus.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,0,5,5,1,1
v,0,1.6696,,,,,,,,0.5696,,,,,,,,1.1,images/target_cross.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,0,6,6,0,1
c,1,0.2465,,,,,,,,-1.2535,,,,,,,,1.5,images/target_cross.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,0,7,7,6,1
b,1,2.4019,,,,,,,,0.9019,,,,,,,,1.5,images/target_plus.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,0,8,8,4,1
v,1,2.204,,,,,,,,0.704,,,,,,,,1.5,images/target_square.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,1,0,9,2,1
b,1,2.1873,,,,,,,,0.8873,,,,,,,,1.3,images/target_plus.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,1,1,10,1,1
c,1,1.6702,,,,,,,,0.5702,,,,,,,,1.1,images/target_cross.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,1,2,11,0,1
c,1,2.0647,,,,,,,,0.5647,,,,,,,,1.5,images/target_cross.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,1,3,12,6,1
b,1,1.9556,,,,,,,,0.4556,,,,,,,,1.5,images/target_plus.jpg,Elbikov,001,2022-03-19_08h31.39.610,choiceRTT,2021.2.3,Win32,60.59137179,,,,,,,,1,4,13,4,1
