keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,correctMouseResp
b,1,2.9022,,,,,,,,1.6022,space,2.7893,0,0,0,1,1,1.3,images/target_plus.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,,,,,,
c,1,2.3261,,,,,,,,1.0261,space,0.5542,0,1,1,3,1,1.3,images/target_cross.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,,,,,,
c,1,1.8362,,,,,,,,0.7362,space,0.5791,0,2,2,0,1,1.1,images/target_cross.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,,,,,,
v,1,2.3739,,,,,,,,1.0739,space,0.4127,0,3,3,8,1,1.3,images/target_square.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,,,,,,
v,1,2.6715,,,,,,,,1.1715,space,0.305,0,4,4,2,1,1.5,images/target_square.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,,,,,,
b,1,4.396,,,,,,,,2.896,space,0.3658,0,5,5,4,1,1.5,images/target_plus.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,,,,,,
c,1,2.3028,,,,,,,,0.8028,space,0.2968,0,6,6,6,1,1.5,images/target_cross.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,,,,,,
v,1,1.8847,,,,,,,,0.7847,space,0.2506,0,7,7,5,1,1.1,images/target_square.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,,,,,,
c,0,2.5761,,,,,,,,1.4761,space,0.2784,0,8,8,7,1,1.1,images/target_plus.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,,,,,,
v,0,4.681,,,,,,,,3.381,,,,,,,,1.3,images/target_plus.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,0.057291667,-0.263020833,1,0,0,0,0,0,1,1,
b,1,3.2488,,,,,,,,1.7488,,,,,,,,1.5,images/target_plus.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,0,1,1,4,1,
v,1,2.3358,,,,,,,,0.8358,,,,,,,,1.5,images/target_square.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,0,2,2,2,1,
c,1,2.286,,,,,,,,0.786,,,,,,,,1.5,images/target_cross.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,0,3,3,6,1,
c,1,1.7706,,,,,,,,0.6706,,,,,,,,1.1,images/target_cross.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,0,4,4,0,1,
b,1,2.1042,,,,,,,,1.0042,,,,,,,,1.1,images/target_plus.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,0,5,5,7,1,
c,1,2.1585,,,,,,,,0.8585,,,,,,,,1.3,images/target_cross.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,0,6,6,3,1,
v,1,2.1589,,,,,,,,0.8589,,,,,,,,1.3,images/target_square.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,0,7,7,8,1,
v,1,2.2113,,,,,,,,1.1113,,,,,,,,1.1,images/target_square.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,0,8,8,5,1,
b,0,4.477,,,,,,,,3.177,,,,,,,,1.3,images/target_cross.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,1,0,9,3,1,
b,1,3.1138,,,,,,,,1.6138,,,,,,,,1.5,images/target_plus.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,1,1,10,4,1,
b,1,3.4668,,,,,,,,2.3668,,,,,,,,1.1,images/target_plus.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,1,2,11,7,1,
v,1,1.8217,,,,,,,,0.7217,,,,,,,,1.1,images/target_square.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,1,3,12,5,1,
v,1,2.2023,,,,,,,,0.9023,,,,,,,,1.3,images/target_square.jpg,Mariyol,001,2022-02-22_17h53.32.284,choiceRTT,2021.2.3,Win32,60.35367252,,,,,,,1,4,13,8,1,
