keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,ExptLoop.order
c,1,5.9887,,,,,,,,4.8887,,0,0,0,0,1,1.1,images/target_cross.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
c,1,1.7116,,,,,,,,0.4116,,0,1,1,3,1,1.3,images/target_cross.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
v,0,1.9966,,,,,,,,0.4966,c,0,2,2,6,1,1.5,images/target_cross.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,0.1342,,,,,,,,,,,,
v,1,2.7851,,,,,,,,1.2851,,0,3,3,2,1,1.5,images/target_square.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
v,1,1.8799,,,,,,,,0.5799,,0,4,4,8,1,1.3,images/target_square.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
b,1,1.7017,,,,,,,,0.6017,,0,5,5,7,1,1.1,images/target_plus.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
b,1,2.7758,,,,,,,,1.4758,,0,6,6,1,1,1.3,images/target_plus.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
b,1,2.0129,,,,,,,,0.5129,,0,7,7,4,1,1.5,images/target_plus.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
v,1,1.8203,,,,,,,,0.7203,,0,8,8,5,1,1.1,images/target_square.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.1,images/target_cross.jpg,Дмитрий,001,2022-03-19_13h23.47.706,choiceRTT,2021.2.3,Win32,59.85515054,,,0.08055557,-0.229629641,1,0,0,0,0,0,0,1,17
