keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,4.0995,,,,,,,,2.9995,space,14.8525,0,0,0,7,1,1.1,images/target_plus.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,,,,,
v,1,1.815,,,,,,,,0.715,space,17.1465,0,1,1,5,1,1.1,images/target_square.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,,,,,
c,0,2.9332,,,,,,,,1.4332,v,0.0915,0,2,2,2,1,1.5,images/target_square.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,,,,,
c,0,2.5068,,,,,,,,1.2068,space,5.1995,0,3,3,1,1,1.3,images/target_plus.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,,,,,
b,0,2.1854,,,,,,,,1.0854,space,7.1231,0,4,4,0,1,1.1,images/target_cross.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,,,,,
c,1,1.9437,,,,,,,,0.6437,space,9.4959,0,5,5,3,1,1.3,images/target_cross.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,,,,,
c,1,2.4204,,,,,,,,0.9204,space,2.5282,0,6,6,6,1,1.5,images/target_cross.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,,,,,
c,0,2.0138,,,,,,,,0.5138,space,2.7394,0,7,7,4,1,1.5,images/target_plus.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,,,,,
v,1,2.3757,,,,,,,,1.0757,space,2.2308,0,8,8,8,1,1.3,images/target_square.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,,,,,
b,0,2.3275,,,,,,,,1.2275,,,,,,,,1.1,images/target_cross.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,0.01171875,-0.276041667,1,0,0,0,0,0,0,1
c,1,2.5019,,,,,,,,1.0019,,,,,,,,1.5,images/target_cross.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,0,1,1,6,1
v,0,2.065,,,,,,,,0.965,,,,,,,,1.1,images/target_plus.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,0,2,2,7,1
c,0,2.702,,,,,,,,1.602,,,,,,,,1.1,images/target_square.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,0,3,3,5,1
b,1,2.3607,,,,,,,,1.0607,,,,,,,,1.3,images/target_plus.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,0,4,4,1,1
c,0,2.5472,,,,,,,,1.0472,,,,,,,,1.5,images/target_square.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,0,5,5,2,1
c,1,3.4433,,,,,,,,2.1433,,,,,,,,1.3,images/target_cross.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,0,6,6,3,1
v,1,2.0184,,,,,,,,0.7184,,,,,,,,1.3,images/target_square.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,0,7,7,8,1
b,1,2.3313,,,,,,,,0.8313,,,,,,,,1.5,images/target_plus.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,0,8,8,4,1
c,0,2.0531,,,,,,,,0.9531,,,,,,,,1.1,images/target_square.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,1,0,9,5,1
c,1,2.389,,,,,,,,1.289,,,,,,,,1.1,images/target_cross.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,1,1,10,0,1
b,1,2.502,,,,,,,,1.002,,,,,,,,1.5,images/target_plus.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,1,2,11,4,1
c,1,2.5375,,,,,,,,1.0375,,,,,,,,1.5,images/target_cross.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,1,3,12,6,1
b,1,2.3198,,,,,,,,1.0198,,,,,,,,1.3,images/target_plus.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,1,4,13,1,1
v,1,2.5011,,,,,,,,1.0011,,,,,,,,1.5,images/target_square.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,1,5,14,2,1
c,0,2.0928,,,,,,,,0.9928,,,,,,,,1.1,images/target_plus.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,1,6,15,7,1
v,1,2.2707,,,,,,,,0.9707,,,,,,,,1.3,images/target_square.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,1,7,16,8,1
c,1,2.2883,,,,,,,,0.9883,,,,,,,,1.3,images/target_cross.jpg,h,001,2022-02-22_17h40.27.394,choiceRTT,2021.2.3,Win32,61.11348775,,,,,,,1,8,17,3,1
