keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,4.2158,,,,,,,,2.9158,,0,0,0,3,1,1.3,images/target_cross.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,,,,,
v,1,2.7412,,,,,,,,1.2412,,0,1,1,2,1,1.5,images/target_square.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,,,,,
c,0,2.0537,,,,,,,,0.7537,,0,2,2,1,1,1.3,images/target_plus.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,,,,,
v,1,2.1101,,,,,,,,0.8101,,0,3,3,8,1,1.3,images/target_square.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,,,,,
c,1,1.8125,,,,,,,,0.7125,,0,4,4,0,1,1.1,images/target_cross.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,,,,,
b,1,1.7254,,,,,,,,0.6254,,0,5,5,7,1,1.1,images/target_plus.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,,,,,
c,1,2.1945,,,,,,,,0.6945,,0,6,6,6,1,1.5,images/target_cross.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,,,,,
b,1,2.063,,,,,,,,0.563,,0,7,7,4,1,1.5,images/target_plus.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,,,,,
v,1,1.687,,,,,,,,0.587,space,0,8,8,5,1,1.1,images/target_square.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,20.056,,,,,,,,,,,,
c,1,2.1865,,,,,,,,0.6865,,,,,,,1.5,images/target_cross.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,space,4.7707,0.210185202,-0.358333403,0,0,0,0,0,0,6,1
c,1,1.8775,,,,,,,,0.7775,,,,,,,1.1,images/target_cross.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,0,1,1,0,1
v,1,1.6642,,,,,,,,0.5642,,,,,,,1.1,images/target_square.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,0,2,2,5,1
b,1,1.7538,,,,,,,,0.4538,,,,,,,1.3,images/target_plus.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,0,3,3,1,1
b,1,1.6934,,,,,,,,0.5934,,,,,,,1.1,images/target_plus.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,0,4,4,7,1
v,1,2.1194,,,,,,,,0.6194,,,,,,,1.5,images/target_square.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,0,5,5,2,1
c,1,1.7398,,,,,,,,0.4398,,,,,,,1.3,images/target_cross.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,0,6,6,3,1
b,1,2.1122,,,,,,,,0.6122,,,,,,,1.5,images/target_plus.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,0,7,7,4,1
v,1,1.7985,,,,,,,,0.4985,,,,,,,1.3,images/target_square.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,0,8,8,8,1
c,1,2.1025,,,,,,,,0.6025,,,,,,,1.5,images/target_cross.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,1,0,9,6,1
v,1,2.0419,,,,,,,,0.5419,,,,,,,1.5,images/target_square.jpg,kcl0808,001,2022-01-22_20h38.31.213,choiceRTT,2021.2.3,Win32,59.80145916,,,,,,,,,1,1,10,2,1
