keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,0.2051,,,,,,,,-1.0949,space,8.4889,0,0,0,1,1,1.3,images/target_plus.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,,,,,
v,1,2.1415,,,,,,,,0.8415,space,3.7445,0,1,1,8,1,1.3,images/target_square.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,,,,,
b,0,2.1285,,,,,,,,0.6285,space,1.4684,0,2,2,6,1,1.5,images/target_cross.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,,,,,
b,1,2.327,,,,,,,,0.827,space,5.3855,0,3,3,4,1,1.5,images/target_plus.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,,,,,
b,1,1.7668,,,,,,,,0.6668,space,1.2263,0,4,4,7,1,1.1,images/target_plus.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,,,,,
c,1,2.2758,,,,,,,,0.9758,space,0.7686,0,5,5,3,1,1.3,images/target_cross.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,,,,,
v,1,2.256,,,,,,,,0.756,space,0.7717,0,6,6,2,1,1.5,images/target_square.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,,,,,
v,1,1.5395,,,,,,,,0.4395,space,0.3498,0,7,7,5,1,1.1,images/target_square.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,,,,,
b,0,1.595,,,,,,,,0.495,space,0.4596,0,8,8,0,1,1.1,images/target_cross.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,,,,,
c,1,2.0307,,,,,,,,0.7307,,,,,,,,1.3,images/target_cross.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,0.065740741,-0.275925926,1,0,0,0,0,0,3,1
c,1,1.5753,,,,,,,,0.4753,,,,,,,,1.1,images/target_cross.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,0,1,1,0,1
b,1,2.2152,,,,,,,,0.7152,,,,,,,,1.5,images/target_plus.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,0,2,2,4,1
v,1,1.9462,,,,,,,,0.6462,,,,,,,,1.3,images/target_square.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,0,3,3,8,1
b,1,1.964,,,,,,,,0.864,,,,,,,,1.1,images/target_plus.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,0,4,4,7,1
v,1,1.8396,,,,,,,,0.7396,,,,,,,,1.1,images/target_square.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,0,5,5,5,1
b,1,1.9281,,,,,,,,0.6281,,,,,,,,1.3,images/target_plus.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,0,6,6,1,1
v,1,2.6493,,,,,,,,1.1493,,,,,,,,1.5,images/target_square.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,0,7,7,2,1
c,1,2.2072,,,,,,,,0.7072,,,,,,,,1.5,images/target_cross.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,0,8,8,6,1
c,1,1.9067,,,,,,,,0.6067,,,,,,,,1.3,images/target_cross.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,1,0,9,3,1
c,1,1.5728,,,,,,,,0.4728,,,,,,,,1.1,images/target_cross.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,1,1,10,0,1
v,1,1.8915,,,,,,,,0.5915,,,,,,,,1.3,images/target_square.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,1,2,11,8,1
v,1,1.5799,,,,,,,,0.4799,,,,,,,,1.1,images/target_square.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,1,3,12,5,1
b,1,1.7316,,,,,,,,0.6316,,,,,,,,1.1,images/target_plus.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,1,4,13,7,1
b,1,2.028,,,,,,,,0.528,,,,,,,,1.5,images/target_plus.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,1,5,14,4,1
v,1,2.0255,,,,,,,,0.5255,,,,,,,,1.5,images/target_square.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,1,6,15,2,1
b,1,1.9175,,,,,,,,0.6175,,,,,,,,1.3,images/target_plus.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,1,7,16,1,1
c,1,2.7832,,,,,,,,1.2832,,,,,,,,1.5,images/target_cross.jpg,libby,001,2022-02-28_15h33.40.552,choiceRTT,2021.2.3,Win32,60.3682463,,,,,,,1,8,17,6,1
