keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,3.1265,,,,,,,,2.0265,space,6.376,0,0,0,5,1,1.1,images/target_square.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,,,,,,,,,,
b,1,2.7411,,,,,,,,1.4411,space,4.0934,0,1,1,1,1,1.3,images/target_plus.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,,,,,,,,,,
v,1,4.9224,,,,,,,,3.4224,space,2.7913,0,2,2,2,1,1.5,images/target_square.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,,,,,,,,,,
b,1,2.616,,,,,,,,1.116,space,2.8804,0,3,3,4,1,1.5,images/target_plus.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,,,,,,,,,,
b,1,2.214,,,,,,,,1.114,space,2.5461,0,4,4,7,1,1.1,images/target_plus.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,,,,,,,,,,
c,1,2.3188,,,,,,,,0.8188,space,1.6751,0,5,5,6,1,1.5,images/target_cross.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,,,,,,,,,,
v,1,1.9876,,,,,,,,0.6876,space,0.9859,0,6,6,8,1,1.3,images/target_square.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,,,,,,,,,,
c,1,2.0218,,,,,,,,0.9218,space,0.7822,0,7,7,0,1,1.1,images/target_cross.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,,,,,,,,,,
c,1,2.0132,,,,,,,,0.7132,space,0.6933,0,8,8,3,1,1.3,images/target_cross.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,,,,,,,,,,
c,0,2.9327,,,,,,,,1.4327,,,,,,,,1.5,images/target_square.jpg,s,001,2022-01-25_11h14.32.301,choiceRTT,2021.2.3,Win32,59.97361161,,0.024074158,-0.263888912,1,0,0,0,0,0,2,1
