response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,isi,participant,session,date,expName,psychopyVersion,OS,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran
space,1,0.306,0.227777778,-0.334444444,0,0,0,0,0,0,1,1,1.2222,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,,,,,
space,1,0.273,0.227777778,-0.334444444,0,0,0,0,1,1,7,1,2.5554,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,,,,,
space,1,0.283,0.227777778,-0.334444444,0,0,0,0,2,2,3,1,1.6666,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,,,,,
space,1,0.317,0.227777778,-0.334444444,0,0,0,0,3,3,2,1,1.4444,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,,,,,
space,1,0.3,0.227777778,-0.334444444,0,0,0,0,4,4,5,1,2.111,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,,,,,
space,1,0.286,0.227777778,-0.334444444,0,0,0,0,5,5,6,1,2.3332,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,,,,,
space,1,0.272,0.227777778,-0.334444444,0,0,0,0,6,6,4,1,1.8888,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,,,,,
space,1,0.3,0.227777778,-0.334444444,0,0,0,0,7,7,0,1,1,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,,,,,
space,1,0.308,0.227777778,-0.334444444,0,0,0,,,,,,2.111,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,0,0,5,1
space,1,0.284,0.227777778,-0.334444444,0,0,0,,,,,,2.7776,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,1,1,8,1
space,1,0.322,0.227777778,-0.334444444,0,0,0,,,,,,1.4444,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,2,2,2,1
space,1,0.267,0.227777778,-0.334444444,0,0,0,,,,,,1.2222,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,3,3,1,1
space,1,0.284,0.227777778,-0.334444444,0,0,0,,,,,,1,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,4,4,0,1
space,1,0.266,0.227777778,-0.334444444,0,0,0,,,,,,1.6666,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,5,5,3,1
space,1,0.271,0.227777778,-0.334444444,0,0,0,,,,,,1.2222,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,6,6,1,1
space,1,0.251,0.227777778,-0.334444444,0,0,0,,,,,,2.9998,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,7,7,9,1
space,1,0.241,0.227777778,-0.334444444,0,0,0,,,,,,1.8888,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,8,8,4,1
space,1,0.267,0.227777778,-0.334444444,0,0,0,,,,,,2.7776,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,0,9,9,8,1
space,1,0.302,0.227777778,-0.334444444,0,0,0,,,,,,2.5554,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,0,10,7,1
space,1,0.26,0.227777778,-0.334444444,0,0,0,,,,,,2.3332,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,1,11,6,1
space,1,0.25,0.227777778,-0.334444444,0,0,0,,,,,,2.3332,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,2,12,6,1
space,1,0.3,0.227777778,-0.334444444,0,0,0,,,,,,2.111,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,3,13,5,1
space,1,0.334,0.227777778,-0.334444444,0,0,0,,,,,,1.8888,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,4,14,4,1
space,1,0.266,0.227777778,-0.334444444,0,0,0,,,,,,1.6666,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,5,15,3,1
space,1,0.236,0.227777778,-0.334444444,0,0,0,,,,,,2.5554,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,6,16,7,1
space,1,0.44,0.227777778,-0.334444444,0,0,0,,,,,,1,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,7,17,0,1
space,1,0.939,0.227777778,-0.334444444,0,0,0,,,,,,1.4444,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,8,18,2,1
space,1,0.261,0.227777778,-0.334444444,0,0,0,,,,,,2.9998,mjc,001,2022-02-26_05h13.22,simpleRTT,2021.2.3,MacIntel,58.82352941,1,9,19,9,1
