stimulus,condition,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsTxt.started,instructionsTxt.stopped,startKey.keys,startKey.rt,startKey.started,startKey.stopped,flankerStim.started,flankerStim.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixation.started,fixation.stopped,endMsg.started,endMsg.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,10.749164000008022,None,space,1.6589764999807812,10.749164000008022,None,,,,,,,,,,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
<<<<<,congruent,left,0,0,0,2,,,,,,,12.925627100019483,None,right,0,0.6905628000095021,12.925627100019483,None,12.4281353999977,12.942120400024578,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
<<<<<,congruent,left,0,1,1,0,,,,,,,14.125800300011178,None,right,0,0.5064462999871466,14.125800300011178,None,13.642295099998591,14.14227480001864,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
>><>>,incongruent,left,0,2,2,9,,,,,,,15.142635600001086,None,left,1,0.5054854000045452,15.142635600001086,None,14.65910050002276,15.159373800008325,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
<<><<,incongruent,right,0,3,3,8,,,,,,,16.159464399999706,None,left,0,0.5125851000193506,16.159464399999706,None,15.675800199998775,16.175911400001496,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
<<<<<,congruent,left,0,4,4,4,,,,,,,17.17602350001107,None,left,1,0.5202214000164531,17.17602350001107,None,16.69243439999991,17.192548799997894,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
>>>>>,congruent,right,0,5,5,7,,,,,,,18.209512400004314,None,right,1,0.5428352000017185,18.209512400004314,None,17.725997900008224,18.22614720001002,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
>>>>>,congruent,right,0,6,6,5,,,,,,,19.25979380001081,None,right,1,0.5005147999909241,19.25979380001081,None,18.77611240002443,19.27649330001441,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
>>>>>,congruent,right,0,7,7,1,,,,,,,20.2600122000149,None,right,1,0.4362955999968108,20.2600122000149,None,19.776232100004563,20.27636440002243,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
<<<<<,congruent,left,0,8,8,6,,,,,,,21.20979650001391,None,left,1,0.4382227000023704,21.20979650001391,None,20.726498400006676,21.226499900018098,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
>>>>>,congruent,right,0,9,9,3,,,,,,,22.160074100014754,None,left,0,0.4400310999772046,22.160074100014754,None,21.676920099998824,22.176623700011987,,,,001,2022_Jan_12_1106,flanker-basic,2021.2.3,59.98609521850838,
,,,,,,,,,,,,,,,,,,,,,,22.626584200013895,None,,,,,,,
