rat,maze,run,time
1,1,1,182.553158976765
1,1,2,180.587993658846
1,1,3,161.53513849205
1,1,4,198.243186651912
1,1,5,155.66731359933
1,1,6,79.6909430140844
1,1,7,108.810249494768
1,1,8,81.8430147509245
1,1,9,112.944875240873
1,1,10,106.860151583211
1,1,11,134.288414775776
1,1,12,94.8305242049949
1,1,13,139.087468738094
1,1,14,105.443451028766
1,1,15,205.714379250957
1,1,16,162.218019896403
1,2,1,159.723220472417
1,2,2,208.486251592704
1,2,3,121.406706973253
1,2,4,127.947000356485
1,2,5,199.0982174719
1,2,6,126.203452208383
1,2,7,137.499212465793
1,2,8,130.53306742671
1,2,9,133.268590122132
1,2,10,134.804357283882
1,2,11,163.855821979862
1,2,12,138.628143360986
1,2,13,126.282255701726
1,2,14,195.745512966837
1,2,15,137.228772379746
1,2,16,138.544514999881
1,3,1,176.781091306911
1,3,2,140.27857702246
1,3,3,141.946718208302
1,3,4,112.046360530655
1,3,5,128.638997949624
1,3,6,146.487051175621
1,3,7,116.35322862682
1,3,8,168.369864684152
1,3,9,73.1991368561033
1,3,10,157.926600951916
1,3,11,72.3608587758848
1,3,12,129.720480602837
1,3,13,119.167395775317
1,3,14,113.419014003684
1,3,15,141.052408746005
1,3,16,54.815562650564
1,4,1,85.83359233268
1,4,2,138.563078339826
1,4,3,109.930674319535
1,4,4,125.954413284847
1,4,5,250.50933549718
1,4,6,159.670198925149
1,4,7,102.452933407533
1,4,8,86.9030190465808
1,4,9,178.664766879398
1,4,10,158.092168133981
1,4,11,144.947188177602
1,4,12,118.118422816574
1,4,13,93.6243328737021
1,4,14,111.718156646993
1,4,15,202.796493185532
1,4,16,131.640269389269
1,5,1,218.808988074256
1,5,2,159.646026878474
1,5,3,132.45482652508
1,5,4,185.593297007722
1,5,5,178.544639363281
1,5,6,116.863263474703
1,5,7,232.606883478775
1,5,8,131.783803354396
1,5,9,83.8751793603449
1,5,10,136.315786771008
1,5,11,150.733340711076
1,5,12,236.780351608323
1,5,13,146.565606338719
1,5,14,160.952783704628
1,5,15,139.070625989801
1,5,16,128.548547747185
1,6,1,167.072510190632
1,6,2,208.587782152926
1,6,3,174.8026766282
1,6,4,180.622914054737
1,6,5,101.976636129521
1,6,6,173.400240501587
1,6,7,148.768117909064
1,6,8,94.3698357449197
1,6,9,158.476187473709
1,6,10,136.558648619498
1,6,11,188.89881510282
1,6,12,116.977057932028
1,6,13,127.80626427161
1,6,14,111.817414243139
1,6,15,135.967024405435
1,6,16,154.639008404283
1,7,1,153.432319634651
1,7,2,98.2748330000452
1,7,3,102.606849042776
1,7,4,169.959210965367
1,7,5,103.476425473236
1,7,6,142.111100170619
1,7,7,120.652364801684
1,7,8,142.041482188724
1,7,9,176.66201400067
1,7,10,173.894343015538
1,7,11,122.009840589445
1,7,12,69.1287343410035
1,7,13,198.546583031413
1,7,14,149.013483054945
1,7,15,145.611183454202
1,7,16,130.601126821455
1,8,1,133.255241329142
1,8,2,152.86348624755
1,8,3,125.3501857621
1,8,4,92.8425883353324
1,8,5,171.870924773267
1,8,6,189.697423341778
1,8,7,128.416953891204
1,8,8,96.7610208460492
1,8,9,160.288474181649
1,8,10,137.265790420005
1,8,11,80.6765336976625
1,8,12,138.835635032335
1,8,13,117.640093852365
1,8,14,127.336853710566
1,8,15,100.002439461787
1,8,16,199.195279953554
2,1,1,93.9567827031683
2,1,2,96.0475073767999
2,1,3,56.4713835052248
2,1,4,-3.83041091358867
2,1,5,67.4140502247589
2,1,6,105.785686746728
2,1,7,85.8160712346717
2,1,8,84.5975640256905
2,1,9,105.478745575457
2,1,10,50.1141220814438
2,1,11,122.461158452562
2,1,12,87.5391423330224
2,1,13,110.120453397545
2,1,14,120.475406893728
2,1,15,94.7897167869166
2,1,16,59.8655791113691
2,2,1,54.070746636393
2,2,2,89.5359096978873
2,2,3,96.5813066855139
2,2,4,98.7634902937199
2,2,5,127.678685053865
2,2,6,106.131108376414
2,2,7,112.733625973444
2,2,8,101.11421929802
2,2,9,96.7764091748393
2,2,10,119.761067638906
2,2,11,130.743365365161
2,2,12,44.2519501028776
2,2,13,116.768352060025
2,2,14,111.943036683435
2,2,15,92.4484962511214
2,2,16,125.986271775534
2,3,1,91.9384787172953
2,3,2,111.273822027356
2,3,3,125.87545230598
2,3,4,101.326983150746
2,3,5,89.6039360167915
2,3,6,76.6160094237982
2,3,7,91.1475762472019
2,3,8,80.8376266507769
2,3,9,92.3685944892836
2,3,10,103.432411237333
2,3,11,82.3274340501913
2,3,12,141.6171798563
2,3,13,99.3956642311351
2,3,14,115.893640093665
2,3,15,57.987358378487
2,3,16,109.302445197358
2,4,1,87.8076907798118
2,4,2,83.6718398857751
2,4,3,77.2845415914152
2,4,4,91.0142276388408
2,4,5,74.9560504265956
2,4,6,75.9123102628917
2,4,7,72.5789015086679
2,4,8,75.218096576646
2,4,9,88.0089146633358
2,4,10,83.9538562376204
2,4,11,88.4843932991213
2,4,12,77.4225681738529
2,4,13,83.4993267183984
2,4,14,82.4511966844374
2,4,15,69.2080146320284
2,4,16,94.6149128169279
2,5,1,84.7883341134885
2,5,2,85.3166091074073
2,5,3,82.5135388993546
2,5,4,81.8021128388706
2,5,5,85.1453009387269
2,5,6,79.7354694729894
2,5,7,88.1489400186191
2,5,8,81.5852239854953
2,5,9,87.2648696416496
2,5,10,86.8692783867125
2,5,11,82.8857146000621
2,5,12,84.2354193446467
2,5,13,79.7988768211935
2,5,14,83.5547506329972
2,5,15,85.563206741506
2,5,16,84.6977275660982
2,6,1,72.2333074569908
2,6,2,75.4619708480681
2,6,3,81.2180240859262
2,6,4,73.1281986100231
2,6,5,75.0187743871717
2,6,6,68.9082897278946
2,6,7,78.2238085903705
2,6,8,82.4615500416464
2,6,9,83.4467213812884
2,6,10,79.8926242519559
2,6,11,65.9099064279506
2,6,12,78.1598283682607
2,6,13,78.0249547410882
2,6,14,73.8083230932865
2,6,15,76.5371090038899
2,6,16,71.1485737871148
2,7,1,81.6029913014492
2,7,2,66.0118076386733
2,7,3,81.0964616972247
2,7,4,102.83765105104
2,7,5,81.5128529326156
2,7,6,94.9078085364762
2,7,7,97.5921890738748
2,7,8,85.7644658274478
2,7,9,81.2863763736818
2,7,10,79.0597257129195
2,7,11,95.8961902165314
2,7,12,72.3591572084901
2,7,13,88.8000492677525
2,7,14,82.0750227744736
2,7,15,57.2770074178187
2,7,16,68.0232731712458
2,8,1,95.7384758673848
2,8,2,110.180897641833
2,8,3,125.924857949827
2,8,4,119.918909981174
2,8,5,108.350989113034
2,8,6,104.033696553072
2,8,7,95.7164109700068
2,8,8,121.4292883203
2,8,9,107.174257505236
2,8,10,81.474146939466
2,8,11,96.2559660379558
2,8,12,70.6508800111743
2,8,13,95.6806822648881
2,8,14,60.8719190357731
2,8,15,117.597245002181
2,8,16,89.2871458132847
3,1,1,116.017680427914
3,1,2,118.033675053982
3,1,3,114.668047627764
3,1,4,79.8954934908827
3,1,5,55.7863474312592
3,1,6,85.4999948515389
3,1,7,105.825080109467
3,1,8,72.2568213318866
3,1,9,95.252860314166
3,1,10,61.7508804550073
3,1,11,97.098418827033
3,1,12,101.280426504418
3,1,13,92.9041485163542
3,1,14,92.3542691554177
3,1,15,151.120712673689
3,1,16,120.60226267557
3,2,1,89.3021952460059
3,2,2,116.068864818542
3,2,3,140.446566972271
3,2,4,110.632994696911
3,2,5,59.6164306365346
3,2,6,120.511413897993
3,2,7,65.1394747132239
3,2,8,92.0596365869024
3,2,9,144.610391179665
3,2,10,127.176103898682
3,2,11,138.892170521046
3,2,12,119.570231710707
3,2,13,109.312876543712
3,2,14,89.2749788794884
3,2,15,151.228770033444
3,2,16,113.131893250342
3,3,1,123.088511851648
3,3,2,128.305234367477
3,3,3,148.781711056866
3,3,4,86.4793118106005
3,3,5,91.7686339422486
3,3,6,91.13644181822
3,3,7,92.147896141756
3,3,8,92.3729659648781
3,3,9,94.1421489928651
3,3,10,137.465621878745
3,3,11,84.1219886558396
3,3,12,91.835964681236
3,3,13,117.785297151431
3,3,14,129.560220007101
3,3,15,82.2625675698471
3,3,16,88.8458631671431
3,4,1,143.227759999017
3,4,2,101.181345695911
3,4,3,62.1201181064826
3,4,4,166.136629193049
3,4,5,157.055763588525
3,4,6,85.9652507371081
3,4,7,107.34778603804
3,4,8,51.2027494763917
3,4,9,128.381965658578
3,4,10,162.929954750613
3,4,11,55.2515277927964
3,4,12,83.6723529229808
3,4,13,88.2580439999792
3,4,14,86.9341281185928
3,4,15,42.129657473476
3,4,16,126.103579748555
3,5,1,91.2381155464591
3,5,2,110.451028879343
3,5,3,85.8534408490385
3,5,4,119.747598252607
3,5,5,91.2158107804902
3,5,6,71.8796881904055
3,5,7,112.110434448245
3,5,8,78.5275369559672
3,5,9,147.12531357248
3,5,10,91.4475960061569
3,5,11,118.52908551804
3,5,12,98.3937478754436
3,5,13,-1.50417490828687
3,5,14,49.5432156305366
3,5,15,78.8300550838661
3,5,16,99.3774510170735
3,6,1,95.7882221630133
3,6,2,57.6975163352468
3,6,3,54.0869273621621
3,6,4,34.5630911794732
3,6,5,37.0370388827909
3,6,6,73.7682415515024
3,6,7,84.7868702311103
3,6,8,21.3741478364781
3,6,9,47.9704003706684
3,6,10,85.429018543988
3,6,11,61.3795405647409
3,6,12,125.063527856218
3,6,13,102.696792474163
3,6,14,86.8816619779844
3,6,15,72.5169553771938
3,6,16,79.1926771836893
3,7,1,74.4122690260585
3,7,2,91.2510840585553
3,7,3,83.4109077401891
3,7,4,45.9339479538801
3,7,5,30.0152093517353
3,7,6,59.8363675289861
3,7,7,70.7147544579916
3,7,8,88.6977872987129
3,7,9,35.9482832285874
3,7,10,69.2030733530163
3,7,11,66.6168817550205
3,7,12,85.5948116568463
3,7,13,61.4516061348753
3,7,14,54.9431113626907
3,7,15,39.3428395930432
3,7,16,51.7792195569666
3,8,1,121.264739103933
3,8,2,123.915386371416
3,8,3,51.7443485609049
3,8,4,27.524780909841
3,8,5,1.86072529753748
3,8,6,70.5622279679812
3,8,7,26.2293499258601
3,8,8,119.444883185233
3,8,9,31.8897248927915
3,8,10,59.4167613651625
3,8,11,161.57863784276
3,8,12,25.7229437979152
3,8,13,64.8425030260097
3,8,14,25.7786076023576
3,8,15,65.9496068783103
3,8,16,32.2308850490908
4,1,1,64.3454695423276
4,1,2,125.531080669597
4,1,3,175.74373154675
4,1,4,206.597712044106
4,1,5,54.6406227935461
4,1,6,112.167262551688
4,1,7,184.339865990224
4,1,8,67.8807569633855
4,1,9,-4.56039356989584
4,1,10,77.0145252799831
4,1,11,75.4094090998982
4,1,12,127.385081291231
4,1,13,104.272738302384
4,1,14,136.810183282909
4,1,15,103.318198229919
4,1,16,144.115478693143
4,2,1,180.508249334224
4,2,2,81.2810367696524
4,2,3,134.203866915102
4,2,4,73.6863594374356
4,2,5,129.948385629511
4,2,6,116.782642333361
4,2,7,32.5179775225559
4,2,8,111.814849817521
4,2,9,179.999210109811
4,2,10,154.319458501648
4,2,11,126.614493658205
4,2,12,57.8574591503572
4,2,13,179.433683593652
4,2,14,123.317304291695
4,2,15,95.9818144876477
4,2,16,203.77418232468
4,3,1,120.666868152381
4,3,2,161.291043779882
4,3,3,183.84052044339
4,3,4,95.3225182549367
4,3,5,90.6971370176358
4,3,6,122.816653312675
4,3,7,129.391483244643
4,3,8,108.843322597743
4,3,9,162.815381863103
4,3,10,105.337227386941
4,3,11,78.9929916085372
4,3,12,130.381576725479
4,3,13,16.6482364480695
4,3,14,124.346250687316
4,3,15,128.705532593976
4,3,16,98.7334511598809
4,4,1,75.8414733524628
4,4,2,162.044650827924
4,4,3,60.393542763602
4,4,4,-10.0023471913861
4,4,5,129.351650778879
4,4,6,71.1290792201673
4,4,7,70.7046329154032
4,4,8,39.47909924395
4,4,9,92.3494703944355
4,4,10,124.431371366288
4,4,11,67.3095859647518
4,4,12,66.4565225043718
4,4,13,141.95727532524
4,4,14,82.3786525984191
4,4,15,79.2485789232216
4,4,16,65.6121291831572
4,5,1,63.4917232632868
4,5,2,142.295407977762
4,5,3,140.433810625124
4,5,4,86.0025476945293
4,5,5,142.259923990174
4,5,6,148.174101051683
4,5,7,130.59824780167
4,5,8,192.549689491061
4,5,9,22.1047648056199
4,5,10,56.1934596225805
4,5,11,47.1480401522862
4,5,12,113.159582575767
4,5,13,173.731432188305
4,5,14,177.71811235454
4,5,15,126.865332341391
4,5,16,143.553179343873
4,6,1,123.32906424955
4,6,2,119.445121286613
4,6,3,71.8142047309637
4,6,4,91.4041232517787
4,6,5,98.0404148353482
4,6,6,162.064260094405
4,6,7,60.2570464197938
4,6,8,15.1360639765222
4,6,9,135.8644945569
4,6,10,69.5056770222121
4,6,11,85.4229300911529
4,6,12,141.578266381544
4,6,13,71.7285154383079
4,6,14,89.4033540214844
4,6,15,166.611709426521
4,6,16,125.814148262434
4,7,1,105.229160926645
4,7,2,56.168448048179
4,7,3,38.5128942566953
4,7,4,100.975251621193
4,7,5,210.133879004641
4,7,6,122.81033684229
4,7,7,119.99781182748
4,7,8,128.251811745273
4,7,9,93.0366117675201
4,7,10,43.3143292028874
4,7,11,243.199857218232
4,7,12,91.1489634601698
4,7,13,97.2853307301733
4,7,14,24.0058041653468
4,7,15,99.7673232960774
4,7,16,99.8018749942509
4,8,1,20.1674844899921
4,8,2,195.522056652683
4,8,3,194.487268933561
4,8,4,141.757867207889
4,8,5,53.857660213386
4,8,6,142.980828801688
4,8,7,95.7996948430127
4,8,8,92.2001130965556
4,8,9,174.80225236985
4,8,10,47.6153833697406
4,8,11,82.8013407646767
4,8,12,72.0012100431165
4,8,13,108.870388703189
4,8,14,30.6778658150784
4,8,15,73.3691348965052
4,8,16,143.050680549203
5,1,1,165.298045630438
