condition,subject,block,acc_mean,rt_mean
delay,101,1,0.8,1.97268472
delay,101,2,0.96,1.52805948
delay,101,3,0.96,1.15779876
delay,101,4,0.88,1.57211144
delay,101,5,0.84,1.56014716
delay,101,6,1,1.30656208
delay,101,7,0.92,0.9023704
delay,101,8,0.92,1.4110266
delay,101,9,1,0.9414802
delay,101,10,0.92,1.39808388
delay,101,11,1,1.18526268
delay,101,12,1,1.26586432
delay,101,13,0.88,1.43028156
delay,101,14,1,1.20605364
delay,101,15,1,1.12800032
delay,101,16,1,1.31709276
delay,101,17,0.92,1.38398356
delay,101,18,0.88,1.28914756
delay,101,19,0.88,1.3679608
delay,101,20,0.92,1.09549084
delay,101,21,0.84,1.32765168
delay,101,22,0.96,1.0982638
delay,101,23,0.84,0.9752372
delay,101,24,0.96,0.93442044
delay,102,1,0.88,0.95787788
delay,102,2,0.72,1.07967152
delay,102,3,0.76,0.81389136
delay,102,4,0.76,0.92637056
delay,102,5,0.8,0.90839352
delay,102,6,0.88,0.73241608
delay,102,7,0.88,0.69533428
delay,102,8,0.84,0.72594588
delay,102,9,0.76,0.62608948
delay,102,10,0.84,0.642302
delay,102,11,0.88,0.68336076
delay,102,12,0.8,0.60447172
delay,102,13,0.84,0.54960564
delay,102,14,0.72,0.67423572
delay,102,15,0.92,0.7723766
delay,102,16,0.92,0.60178896
delay,102,17,0.8,0.90241424
delay,102,18,0.84,0.84175116
delay,102,19,0.72,0.84455856
delay,102,20,0.72,0.62332648
delay,102,21,0.8,0.67830024
delay,102,22,0.96,0.78291564
delay,102,23,0.68,0.6378708
delay,102,24,0.6,0.70345748
delay,103,1,0.64,2.14970916
delay,103,2,0.64,1.56757992
delay,103,3,0.88,1.66110192
delay,103,4,0.76,1.44801368
delay,103,5,0.8,1.36498444
delay,103,6,0.88,1.33150496
delay,103,7,1,1.31089916
delay,103,8,0.92,1.05840736
delay,103,9,0.88,1.0584334
delay,103,10,0.88,1.39848528
delay,103,11,0.96,1.14229124
delay,103,12,0.8,1.081268
delay,103,13,1,1.01085636
delay,103,14,1,1.03733508
delay,103,15,0.92,1.00649012
delay,103,16,0.92,1.0536648
delay,103,17,0.88,1.5937828
delay,103,18,0.96,1.27660724
delay,103,19,0.8,1.00482428
delay,103,20,0.96,0.94880672
delay,103,21,0.88,0.98889892
delay,103,22,0.72,0.84023476
delay,103,23,0.88,1.0830914
delay,103,24,0.88,0.82156564
delay,104,1,0.52,1.43815936
delay,104,2,0.32,0.99492004
delay,104,3,0.64,0.9244148
delay,104,4,0.56,0.87609564
delay,104,5,0.64,1.05938092
delay,104,6,0.44,1.136711
delay,104,7,0.4,0.75720916
delay,104,8,0.52,0.98400872
delay,104,9,0.56,0.6290858
delay,104,10,0.68,1.07665992
delay,104,11,0.72,0.73445932
delay,104,12,0.6,1.1884232
delay,104,13,0.52,0.67591848
delay,104,14,0.72,1.25604068
delay,104,15,0.8,1.35271972
delay,104,16,0.6,0.95010576
delay,104,17,0.32,0.59248856
delay,104,18,0.72,0.66102488
delay,104,19,0.52,0.1123892
delay,104,20,0.48,0.41718428
delay,104,21,0.52,0.230739
delay,104,22,0.56,0.47951396
delay,104,23,0.44,0.12939864
delay,104,24,0.56,0.11240952
delay,105,1,0.68,1.69913284
delay,105,2,0.92,1.53612144
delay,105,3,0.92,1.19352488
delay,105,4,0.96,1.30503972
delay,105,5,0.92,1.30441664
delay,105,6,1,1.24940216
delay,105,7,1,1.13517728
delay,105,8,0.96,1.06558936
delay,105,9,1,0.8535194
delay,105,10,1,0.99260376
delay,105,11,1,1.06205688
delay,105,12,0.96,1.0372562
delay,105,13,1,0.80676684
delay,105,14,1,0.92991036
delay,105,15,0.92,1.02862292
delay,105,16,1,0.94163712
delay,105,17,0.88,1.2503958
delay,105,18,0.92,0.85199368
delay,105,19,1,0.88348692
delay,105,20,0.88,0.82948816
delay,105,21,0.96,1.08604088
delay,105,22,0.92,0.96173
delay,105,23,0.92,0.73480288
delay,105,24,0.8,0.8999098
delay,106,1,0.52,1.40296376
delay,106,2,0.64,1.16027372
delay,106,3,0.52,1.02755056
delay,106,4,0.44,1.2716568
delay,106,5,0.8,0.96610804
delay,106,6,0.32,1.32429744
delay,106,7,0.76,1.02566628
delay,106,8,0.72,1.0590454
delay,106,9,0.68,1.186362
delay,106,10,0.84,1.0599464
delay,106,11,0.72,1.07456172
delay,106,12,0.64,1.18626732
delay,106,13,0.6,1.04048916
delay,106,14,0.56,1.2294358
delay,106,15,0.8,1.11229512
delay,106,16,0.76,1.171618
delay,106,17,0.76,0.75056304
delay,106,18,0.72,0.705595
delay,106,19,0.48,0.63477996
delay,106,20,0.52,0.83604188
delay,106,21,0.6,0.65850104
