fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
0.95,right,1,1.06,0,0,0,20,1,stim/lower.png,stim/incongLeft.png,right,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.9,left,1,0.754,0,1,1,3,1,stim/blank.png,stim/congLeft.png,left,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.8,left,1,0.839,0,2,2,0,1,stim/upper.png,stim/congLeft.png,left,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.45,left,1,0.655,0,3,3,19,1,stim/blank.png,stim/incongLeft.png,left,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
1,right,1,0.428,0,4,4,10,1,stim/centre.png,stim/congRight.png,right,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.5,right,1,0.637,0,5,5,5,1,stim/both.png,stim/congLeft.png,right,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.7,right,1,0.806,0,6,6,22,1,stim/centre.png,stim/incongLeft.png,right,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
1.4,right,1,0.564,0,7,7,6,1,stim/centre.png,stim/congLeft.png,right,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
1.1,left,1,0.514,0,8,8,13,1,stim/both.png,stim/congRight.png,left,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.8,left,1,0.379,0,9,9,12,1,stim/lower.png,stim/congRight.png,left,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.55,left,1,0.389,0,10,10,15,1,stim/blank.png,stim/congRight.png,left,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
1.55,right,1,0.465,0,11,11,7,1,stim/blank.png,stim/congLeft.png,right,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
1.45,right,1,0.378,0,12,12,8,1,stim/upper.png,stim/congRight.png,right,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.7,right,1,0.424,0,13,13,4,1,stim/lower.png,stim/congLeft.png,right,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
1,left,1,0.341,0,14,14,1,1,stim/both.png,stim/congLeft.png,left,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.6,left,1,0.471,0,15,15,2,1,stim/centre.png,stim/congLeft.png,left,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.65,left,1,0.64,0,16,16,18,1,stim/centre.png,stim/incongLeft.png,left,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
1.25,right,1,0.374,0,17,17,9,1,stim/both.png,stim/congRight.png,right,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.5,right,1,0.473,0,18,18,11,1,stim/blank.png,stim/congRight.png,right,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.85,left,0,0.513,0,19,19,23,1,stim/blank.png,stim/incongLeft.png,right,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.55,left,1,0.437,0,20,20,16,1,stim/upper.png,stim/incongLeft.png,left,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
1.35,right,1,0.681,0,21,21,21,1,stim/both.png,stim/incongLeft.png,right,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.95,left,1,0.571,0,22,22,14,1,stim/centre.png,stim/congRight.png,left,180,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
0.55,left,1,0.657,0,23,23,17,1,stim/both.png,stim/incongLeft.png,left,0,1,001,2022-03-12_17h33.13.242,ANT,2021.2.3,Linux x86_64,58.27505828
