fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.75,,0,0,0,0,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,,,,,,,,,,,,,
1.15,left,1,0,1,1,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,1.4522,,,,,,,,,,,,
1.1,right,1,0,2,2,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.8514,,,,,,,,,,,,
0.7,right,1,0,3,3,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.654,,,,,,,,,,,,
1.3,left,1,0,4,4,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.9517,,,,,,,,,,,,
0.55,left,1,0,5,5,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7826,,,,,,,,,,,,
0.85,left,1,0,6,6,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5994,,,,,,,,,,,,
1.5,right,1,0,7,7,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.634,,,,,,,,,,,,
0.9,left,1,0,8,8,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.4678,,,,,,,,,,,,
0.5,left,1,0,9,9,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5564,,,,,,,,,,,,
1.1,right,1,0,10,10,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.485,,,,,,,,,,,,
0.55,left,0,0,11,11,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.4838,,,,,,,,,,,,
0.4,left,1,0,12,12,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.9011,,,,,,,,,,,,
0.55,right,1,0,13,13,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.551,,,,,,,,,,,,
0.8,right,1,0,14,14,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6173,,,,,,,,,,,,
1.05,right,1,0,15,15,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6023,,,,,,,,,,,,
1.45,left,1,0,16,16,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6844,,,,,,,,,,,,
0.45,right,1,0,17,17,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5508,,,,,,,,,,,,
