fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate
1.45,left,1,0.935265,0,0,0,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
0.9,right,1,0.628205,0,1,1,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.15,left,1,0.588645,0,2,2,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1,right,1,0.702725001,0,3,3,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.45,left,1,0.732825001,0,4,4,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
0.65,right,1,0.5,0,5,5,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.2,left,1,0.45999,0,6,6,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
0.75,right,1,0.522655,0,7,7,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.05,right,1,0.552364999,0,8,8,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.15,left,1,0.383470001,0,9,9,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
0.8,right,0,0.524745001,0,10,10,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.2,right,1,0.512255,0,11,11,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.2,left,1,0.67135,0,12,12,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.1,left,1,0.68832,0,13,13,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.35,left,1,0.415505,0,14,14,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
0.8,right,1,0.382275,0,15,15,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
0.9,left,1,0.360939999,0,16,16,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
0.75,right,1,0.393335,0,17,17,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.15,right,1,0.380265,0,18,18,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
1.4,right,1,0.37751,0,19,19,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
0.6,left,0,0.434400001,0,20,20,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
0.4,,0,,0,21,21,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-02-16_11h54.12.321,ANT,2021.2.3,Win32,59.85156811
