fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1.25,right,1,0.6152,0,0,0,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.35,right,1,0.5324,0,1,1,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.2,left,0,0.4932,0,2,2,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.95,right,0,0.5046,0,3,3,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.55,left,1,0.7651,0,4,4,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.9,right,1,0.7629,0,5,5,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.35,left,1,0.7057,0,6,6,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.55,right,1,0.6862,0,7,7,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.5,left,1,0.655,0,8,8,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.4,left,1,0.4989,0,9,9,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.5,left,1,0.5587,0,10,10,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.7,right,1,0.4518,0,11,11,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.45,right,1,0.5039,0,12,12,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.05,right,1,0.4759,0,13,13,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.8,left,0,0.5029,0,14,14,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.95,right,1,0.5493,0,15,15,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.3,left,1,0.6216,0,16,16,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.15,left,1,0.8054,0,17,17,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.4,left,1,0.4896,0,18,18,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.6,left,1,0.4847,0,19,19,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.85,right,1,0.5196,0,20,20,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.95,right,1,0.5206,0,21,21,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.95,left,1,0.5362,0,22,22,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
0.65,left,1,0.6224,0,23,23,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,,,,,,,,,,
1.1,right,1,0.5962,,,,,,stim/blank.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,space,3.895,0,0,0,7,1,,,,,
0.8,left,1,0.5308,,,,,,stim/lower.png,stim/neutralRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,1,1,44,1,,,,,
1.55,left,1,0.5504,,,,,,stim/upper.png,stim/congLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,2,2,0,1,,,,,
1.3,right,1,0.6557,,,,,,stim/both.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,3,3,21,1,,,,,
1.3,left,1,0.5785,,,,,,stim/both.png,stim/neutralLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,4,4,33,1,,,,,
1.05,left,0,0.9083,,,,,,stim/centre.png,stim/incongRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,5,5,26,1,,,,,
0.55,left,1,0.6177,,,,,,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,6,6,16,1,,,,,
0.9,right,1,0.6222,,,,,,stim/both.png,stim/incongRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,7,7,25,1,,,,,
0.65,left,1,0.5762,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,8,8,32,1,,,,,
0.5,right,1,0.5713,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,9,9,39,1,,,,,
1.35,left,1,0.4847,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,10,10,34,1,,,,,
1.2,left,1,0.6678,,,,,,stim/both.png,stim/incongRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,11,11,29,1,,,,,
1.3,left,1,0.6512,,,,,,stim/blank.png,stim/neutralRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,12,12,47,1,,,,,
