fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt
1.25,,0,0,0,0,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,
0.95,left,1,0,1,1,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.8224
1.2,right,1,0,2,2,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.6417
1.4,right,1,0,3,3,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.8237
0.9,left,1,0,4,4,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.5818
1.1,left,1,0,5,5,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.585
0.95,right,1,0,6,6,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.5325
0.45,left,1,0,7,7,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.617
1.35,right,1,0,8,8,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.5338
1,left,1,0,9,9,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.4506
0.8,left,1,0,10,10,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.4996
0.45,left,1,0,11,11,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.5841
0.75,left,1,0,12,12,13,1,stim/both.png,stim/congRight.png,left,180,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.5073
0.75,left,0,0,13,13,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.4845
0.8,left,1,0,14,14,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.4974
1.35,right,1,0,15,15,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.4658
1.4,right,1,0,16,16,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.4726
1.05,left,1,0,17,17,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,0.5067
0.55,,0,0,18,18,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,
0.85,,0,0,19,19,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-05-20_17h17.39.682,ANT,2021.2.3,MacIntel,60.0024001,
