fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1.2,,0,0,0,0,17,1,stim/both.png,stim/incongLeft.png,left,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,
0.4,,0,0,1,1,13,1,stim/both.png,stim/congRight.png,left,180,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,,
1.55,left,1,0,2,2,1,1,stim/both.png,stim/congLeft.png,left,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.4318,,,,,,,
1.1,left,1,0,3,3,0,1,stim/upper.png,stim/congLeft.png,left,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.3663,,,,,,,
0.9,left,1,0,4,4,12,1,stim/lower.png,stim/congRight.png,left,180,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.4023,,,,,,,
0.8,left,0,0,5,5,20,1,stim/lower.png,stim/incongLeft.png,right,180,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.6016,,,,,,,
1.45,right,1,0,6,6,11,1,stim/blank.png,stim/congRight.png,right,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.3505,,,,,,,
0.75,left,1,0,7,7,2,1,stim/centre.png,stim/congLeft.png,left,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.3147,,,,,,,
0.45,right,1,0,8,8,9,1,stim/both.png,stim/congRight.png,right,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.298,,,,,,,
0.75,right,0,0,9,9,19,1,stim/blank.png,stim/incongLeft.png,left,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.6845,,,,,,,
1.2,left,1,0,10,10,15,1,stim/blank.png,stim/congRight.png,left,180,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.4649,,,,,,,
0.85,right,1,0,11,11,8,1,stim/upper.png,stim/congRight.png,right,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.3822,,,,,,,
1.2,left,1,0,12,12,3,1,stim/blank.png,stim/congLeft.png,left,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.3324,,,,,,,
0.75,right,1,0,13,13,6,1,stim/centre.png,stim/congLeft.png,right,180,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.369,,,,,,,
0.5,right,1,0,14,14,5,1,stim/both.png,stim/congLeft.png,right,180,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.384,,,,,,,
0.75,right,0,0,15,15,16,1,stim/upper.png,stim/incongLeft.png,left,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.3517,,,,,,,
0.6,right,0,0,16,16,18,1,stim/centre.png,stim/incongLeft.png,left,0,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.6002,,,,,,,
1.2,left,1,0,17,17,14,1,stim/centre.png,stim/congRight.png,left,180,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.3655,,,,,,,
1.45,left,0,0,18,18,23,1,stim/blank.png,stim/incongLeft.png,right,180,asd,001,2022-03-08_24h46.32.792,ANT,2021.2.3,MacIntel,60.0024001,0.5029,,,,,,,
