fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1.1,right,1,0.949,0,0,0,4,1,stim/lower.png,stim/congLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.25,left,1,0.5044,0,1,1,12,1,stim/lower.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.65,right,1,0.4582,0,2,2,9,1,stim/both.png,stim/congRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.6,right,1,0.4354,0,3,3,11,1,stim/blank.png,stim/congRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.85,left,1,0.2916,0,4,4,0,1,stim/upper.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.45,left,1,0.3924,0,5,5,13,1,stim/both.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.7,right,0,0.3197,0,6,6,16,1,stim/upper.png,stim/incongLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.2,,0,,0,7,7,17,1,stim/both.png,stim/incongLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.7,left,1,0.7909,0,8,8,15,1,stim/blank.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.9,right,1,0.4013,0,9,9,10,1,stim/centre.png,stim/congRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.05,left,0,0.325,0,10,10,20,1,stim/lower.png,stim/incongLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.6,left,1,0.5767,0,11,11,1,1,stim/both.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.65,left,1,0.8393,0,12,12,18,1,stim/centre.png,stim/incongLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.6,right,1,1.1038,0,13,13,23,1,stim/blank.png,stim/incongLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.3,right,1,0.6153,0,14,14,7,1,stim/blank.png,stim/congLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.9,left,1,0.4818,0,15,15,3,1,stim/blank.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.7,right,1,0.4788,0,16,16,8,1,stim/upper.png,stim/congRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.05,left,1,0.3312,0,17,17,14,1,stim/centre.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.55,left,0,0.3647,0,18,18,21,1,stim/both.png,stim/incongLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1,right,1,0.3851,0,19,19,5,1,stim/both.png,stim/congLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.6,right,1,0.5446,0,20,20,6,1,stim/centre.png,stim/congLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.3,left,0,0.4031,0,21,21,22,1,stim/centre.png,stim/incongLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.25,right,0,1.1995,0,22,22,19,1,stim/blank.png,stim/incongLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
1.4,left,1,0.4374,0,23,23,2,1,stim/centre.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,,,,,,,,,,
0.7,right,1,0.5279,,,,,,stim/both.png,stim/congRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,space,14.5708,0,0,0,9,1,,,,,
1.15,,0,,,,,,,stim/both.png,stim/incongLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,1,1,21,1,,,,,
0.8,right,0,0.6235,,,,,,stim/both.png,stim/incongRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,2,2,29,1,,,,,
1.05,right,1,0.6585,,,,,,stim/both.png,stim/incongRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,3,3,25,1,,,,,
1.4,left,1,0.7438,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,4,4,32,1,,,,,
0.45,right,1,0.6144,,,,,,stim/centre.png,stim/neutralRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,5,5,42,1,,,,,
0.75,right,1,0.8659,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,6,6,36,1,,,,,
0.75,left,1,0.5956,,,,,,stim/centre.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,7,7,2,1,,,,,
1.3,right,1,0.9319,,,,,,stim/blank.png,stim/incongRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,8,8,27,1,,,,,
1.45,right,0,1.0478,,,,,,stim/blank.png,stim/incongLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,9,9,19,1,,,,,
0.65,right,1,1.1767,,,,,,stim/blank.png,stim/neutralRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,10,10,43,1,,,,,
0.4,left,1,0.712,,,,,,stim/blank.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,11,11,15,1,,,,,
1.35,right,1,1.6198,,,,,,stim/blank.png,stim/incongLeft.png,right,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,12,12,23,1,,,,,
1.55,left,1,0.5512,,,,,,stim/both.png,stim/congRight.png,left,180,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,13,13,13,1,,,,,
1.4,right,1,0.9574,,,,,,stim/blank.png,stim/congRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,14,14,11,1,,,,,
1.45,right,1,0.6559,,,,,,stim/centre.png,stim/incongRight.png,right,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,15,15,26,1,,,,,
1.55,left,1,0.5759,,,,,,stim/both.png,stim/congLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,16,16,1,1,,,,,
0.55,left,1,0.7339,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,dj,001,2022-01-24_11h46.42.804,ANT,2021.2.3,Win32,58.24111823,,,0,17,17,35,1,,,,,
