fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1,,0,0,0,0,20,1,stim/lower.png,stim/incongLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
1.2,,0,0,1,1,17,1,stim/both.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
0.9,right,1,0,2,2,10,1,stim/centre.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,1.099,,,,,,,,,,,,
1,left,1,0,3,3,13,1,stim/both.png,stim/congRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,1.5273,,,,,,,,,,,,
1.45,,0,0,4,4,12,1,stim/lower.png,stim/congRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,,,,,,,,,,,,,
0.4,left,1,0,5,5,18,1,stim/centre.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.9862,,,,,,,,,,,,
0.75,right,1,0,6,6,5,1,stim/both.png,stim/congLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8102,,,,,,,,,,,,
0.4,right,1,0,7,7,8,1,stim/upper.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7449,,,,,,,,,,,,
1,right,1,0,8,8,4,1,stim/lower.png,stim/congLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6695,,,,,,,,,,,,
0.95,right,1,0,9,9,9,1,stim/both.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6233,,,,,,,,,,,,
1.5,left,1,0,10,10,3,1,stim/blank.png,stim/congLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6898,,,,,,,,,,,,
0.6,left,1,0,11,11,16,1,stim/upper.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6685,,,,,,,,,,,,
0.95,left,1,0,12,12,14,1,stim/centre.png,stim/congRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8671,,,,,,,,,,,,
0.9,right,1,0,13,13,7,1,stim/blank.png,stim/congLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.568,,,,,,,,,,,,
1.45,left,1,0,14,14,2,1,stim/centre.png,stim/congLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6876,,,,,,,,,,,,
