keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,7.5193,,,,,,,,6.0193,,0,0,0,6,1,1.5,images/target_cross.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,,,,,
c,1,2.1298,,,,,,,,0.8298,,0,1,1,3,1,1.3,images/target_cross.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,,,,,
b,1,2.2843,,,,,,,,0.9843,space,0,2,2,1,1,1.3,images/target_plus.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,1.0733,,,,,,,,,,,
v,1,2.0802,,,,,,,,0.7802,space,0,3,3,8,1,1.3,images/target_square.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,1.055,,,,,,,,,,,
c,1,1.954,,,,,,,,0.854,space,0,4,4,0,1,1.1,images/target_cross.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,0.9048,,,,,,,,,,,
v,1,2.9623,,,,,,,,1.4623,,0,5,5,2,1,1.5,images/target_square.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,,,,,
v,1,1.7106,,,,,,,,0.6106,space,0,6,6,5,1,1.1,images/target_square.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,1.2147,,,,,,,,,,,
b,1,1.9545,,,,,,,,0.8545,space,0,7,7,7,1,1.1,images/target_plus.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,1.4922,,,,,,,,,,,
v,0,2.1389,,,,,,,,0.6389,space,0,8,8,4,1,1.5,images/target_plus.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,1.6781,,,,,,,,,,,
b,1,3.026,,,,,,,,1.526,,,,,,,1.5,images/target_plus.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,-0.00390625,-0.266927083,1,0,0,0,0,0,4,1
c,1,2.1747,,,,,,,,1.0747,,,,,,,1.1,images/target_cross.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,0,1,1,0,1
v,1,2.0572,,,,,,,,0.7572,,,,,,,1.3,images/target_square.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,0,2,2,8,1
c,1,1.9504,,,,,,,,0.6504,,,,,,,1.3,images/target_cross.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,0,3,3,3,1
b,1,1.8508,,,,,,,,0.7508,,,,,,,1.1,images/target_plus.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,0,4,4,7,1
v,1,1.7763,,,,,,,,0.6763,,,,,,,1.1,images/target_square.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,0,5,5,5,1
v,1,2.1589,,,,,,,,0.6589,,,,,,,1.5,images/target_square.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,0,6,6,2,1
c,1,2.2331,,,,,,,,0.7331,,,,,,,1.5,images/target_cross.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,0,7,7,6,1
b,1,2.1507,,,,,,,,0.8507,,,,,,,1.3,images/target_plus.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,0,8,8,1,1
c,1,1.9475,,,,,,,,0.8475,,,,,,,1.1,images/target_cross.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,1,0,9,0,1
c,1,1.9486,,,,,,,,0.6486,,,,,,,1.3,images/target_cross.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,1,1,10,3,1
b,1,2.0739,,,,,,,,0.7739,,,,,,,1.3,images/target_plus.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,1,2,11,1,1
v,1,2.098,,,,,,,,0.598,,,,,,,1.5,images/target_square.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,1,3,12,2,1
b,1,2.307,,,,,,,,0.807,,,,,,,1.5,images/target_plus.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,1,4,13,4,1
v,1,2.2179,,,,,,,,0.9179,,,,,,,1.3,images/target_square.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,1,5,14,8,1
b,1,1.818,,,,,,,,0.718,,,,,,,1.1,images/target_plus.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,1,6,15,7,1
c,1,2.2285,,,,,,,,0.7285,,,,,,,1.5,images/target_cross.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,1,7,16,6,1
v,1,2.0586,,,,,,,,0.9586,,,,,,,1.1,images/target_square.jpg,000,001,2022-03-30_13h40.58.568,choiceRTT,2021.2.3,Win32,39.72510229,,,,,,,,1,8,17,5,1
