keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,1.7775,,,,,,,,0.6775,,0,0,0,0,1,1.1,images/target_cross.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,,
v,1,2.6979,,,,,,,,1.1979,,0,1,1,2,1,1.5,images/target_square.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,,
c,1,2.2301,,,,,,,,0.9301,,0,2,2,3,1,1.3,images/target_cross.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,,
b,1,2.0582,,,,,,,,0.9582,,0,3,3,7,1,1.1,images/target_plus.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,,
c,1,2.0811,,,,,,,,0.5811,,0,4,4,6,1,1.5,images/target_cross.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,,
b,1,2.0809,,,,,,,,0.7809,,0,5,5,1,1,1.3,images/target_plus.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,,
b,1,2.3239,,,,,,,,0.8239,,0,6,6,4,1,1.5,images/target_plus.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,,
v,1,2.3818,,,,,,,,1.0818,,0,7,7,8,1,1.3,images/target_square.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,,
v,1,1.6694,,,,,,,,0.5694,,0,8,8,5,1,1.1,images/target_square.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,,,,,,,,,,,,
v,1,2.234,,,,,,,,0.934,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-04_18h00.09.347,choiceRTT,2021.2.3,Win32,60.03842459,space,11.6114,0.164814831,-0.276851863,0,0,0,0,0,0,8,1
