keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,5.253,,,,,,,,3.953,space,6.6132,0,0,0,1,1,1.3,images/target_plus.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,,,,,
v,1,4.2905,,,,,,,,2.9905,space,0.8691,0,1,1,8,1,1.3,images/target_square.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,,,,,
c,1,4.4314,,,,,,,,3.1314,space,3.1307,0,2,2,3,1,1.3,images/target_cross.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,,,,,
c,1,3.3769,,,,,,,,1.8769,space,2.0851,0,3,3,6,1,1.5,images/target_cross.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,,,,,
c,1,5.499,,,,,,,,4.399,space,6.5157,0,4,4,0,1,1.1,images/target_cross.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,,,,,
b,1,3.6687,,,,,,,,2.5687,space,0.5651,0,5,5,7,1,1.1,images/target_plus.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,,,,,
b,1,3.5826,,,,,,,,2.0826,space,0.8059,0,6,6,4,1,1.5,images/target_plus.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,,,,,
v,1,4.1694,,,,,,,,2.6694,space,0.2052,0,7,7,2,1,1.5,images/target_square.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,,,,,
c,0,3.3214,,,,,,,,2.2214,space,3.5932,0,8,8,5,1,1.1,images/target_square.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,,,,,
v,1,3.2922,,,,,,,,1.7922,,,,,,,,1.5,images/target_square.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,0.049479167,-0.233072917,1,0,0,0,0,0,2,1
c,1,3.1507,,,,,,,,2.0507,,,,,,,,1.1,images/target_cross.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,0,1,1,0,1
b,1,3.6178,,,,,,,,2.5178,,,,,,,,1.1,images/target_plus.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,0,2,2,7,1
v,1,2.9847,,,,,,,,1.6847,,,,,,,,1.3,images/target_square.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,0,3,3,8,1
b,1,3.4149,,,,,,,,2.1149,,,,,,,,1.3,images/target_plus.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,0,4,4,1,1
c,1,4.0572,,,,,,,,2.7572,,,,,,,,1.3,images/target_cross.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,0,5,5,3,1
c,1,3.6599,,,,,,,,2.1599,,,,,,,,1.5,images/target_cross.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,0,6,6,6,1
b,1,3.3338,,,,,,,,1.8338,,,,,,,,1.5,images/target_plus.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,0,7,7,4,1
v,1,2.7259,,,,,,,,1.6259,,,,,,,,1.1,images/target_square.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,0,8,8,5,1
b,1,3.4381,,,,,,,,2.1381,,,,,,,,1.3,images/target_plus.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,1,0,9,1,1
c,1,3.1862,,,,,,,,1.6862,,,,,,,,1.5,images/target_cross.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,1,1,10,6,1
c,1,1.9679,,,,,,,,0.8679,,,,,,,,1.1,images/target_cross.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,1,2,11,0,1
v,1,3.4679,,,,,,,,2.3679,,,,,,,,1.1,images/target_square.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,1,3,12,5,1
b,1,3.0973,,,,,,,,1.9973,,,,,,,,1.1,images/target_plus.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,1,4,13,7,1
v,1,3.1953,,,,,,,,1.6953,,,,,,,,1.5,images/target_square.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,1,5,14,2,1
v,0,4.0075,,,,,,,,2.5075,,,,,,,,1.5,images/target_plus.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,1,6,15,4,1
c,1,4.0343,,,,,,,,2.7343,,,,,,,,1.3,images/target_cross.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,1,7,16,3,1
v,1,3.0736,,,,,,,,1.7736,,,,,,,,1.3,images/target_square.jpg,000,000,2022-04-05_21h05.52.675,choiceRTT,2021.2.3,Win32,30.00660145,,,,,,,1,8,17,8,1
