keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,3.459,,,,,,,,2.159,space,3.583,0,0,0,8,1,1.3,images/target_square.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,3.388,,,,,,,,2.288,space,2.806,0,1,1,0,1,1.1,images/target_cross.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,1,1.786,,,,,,,,0.486,space,0.642,0,2,2,1,1,1.3,images/target_plus.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
v,1,1.879,,,,,,,,0.379,space,0.454,0,3,3,2,1,1.5,images/target_square.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,2.001,,,,,,,,0.501,space,0.532,0,4,4,6,1,1.5,images/target_cross.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
v,0,2.026,,,,,,,,0.526,space,1.289,0,5,5,4,1,1.5,images/target_plus.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,1,1.805,,,,,,,,0.705,space,0.52,0,6,6,7,1,1.1,images/target_plus.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,1.887,,,,,,,,0.587,space,0.34,0,7,7,3,1,1.3,images/target_cross.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,0,1.701,,,,,,,,0.601,space,0.496,0,8,8,5,1,1.1,images/target_square.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,1,3.357,,,,,,,,1.857,,,,,,,,1.5,images/target_plus.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,space,3.372,0.2825,-0.27875,0,0,0,0,0,0,4,1
c,1,3.184,,,,,,,,1.884,,,,,,,,1.3,images/target_cross.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,1,1,3,1
v,1,1.603,,,,,,,,0.503,,,,,,,,1.1,images/target_square.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,2,2,5,1
b,1,2.205,,,,,,,,1.105,,,,,,,,1.1,images/target_plus.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,3,3,7,1
c,0,2.636,,,,,,,,1.136,,,,,,,,1.5,images/target_square.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,4,4,2,1
v,1,2.604,,,,,,,,1.304,,,,,,,,1.3,images/target_square.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,5,5,8,1
c,1,3.188,,,,,,,,1.688,,,,,,,,1.5,images/target_cross.jpg,0,001,2022-04-12_14h02.46.113,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,6,6,6,1
