keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,4.6321,,,,,,,,3.3321,,0,0,0,8,1,1.3,images/target_square.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,,,,,
v,1,2.0482,,,,,,,,0.9482,,0,1,1,5,1,1.1,images/target_square.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,,,,,
c,1,2.8058,,,,,,,,1.7058,,0,2,2,0,1,1.1,images/target_cross.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,,,,,
b,1,2.1864,0.419444464,0.232407403,1,0,0,1.2638,,0.6864,,0,3,3,4,1,1.5,images/target_plus.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,,,,,
v,1,2.4928,,,,,,,,0.9928,,0,4,4,2,1,1.5,images/target_square.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,,,,,
b,0,2.3063,,,,,,,,0.8063,,0,5,5,6,1,1.5,images/target_cross.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,,,,,
c,1,4.2318,,,,,,,,2.9318,,0,6,6,3,1,1.3,images/target_cross.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,,,,,
b,1,1.9708,,,,,,,,0.8708,,0,7,7,7,1,1.1,images/target_plus.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,,,,,
b,1,2.1049,,,,,,,,0.8049,,0,8,8,1,1,1.3,images/target_plus.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,,,,,
b,1,2.0668,,,,,,,,0.9668,,,,,,,1.1,images/target_plus.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,0.012732176,-0.250397889,1,0,0,0,0,0,7,1
b,1,2.1514,,,,,,,,0.8514,,,,,,,1.3,images/target_plus.jpg,1,001,2022-04-28_11h17.03.829,choiceRTT,2021.2.3,Win32,60.04924038,,,,,,,0,1,1,1,1
