keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,2.0104,,,,,,,,0.9104,space,1.8015,0,0,0,0,1,1.1,images/target_cross.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,,,,,,,,,,,,
c,1,2.2036,,,,,,,,0.7036,space,0.3454,0,1,1,6,1,1.5,images/target_cross.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,,,,,,,,,,,,
b,1,2.1477,,,,,,,,0.6477,space,0.1955,0,2,2,4,1,1.5,images/target_plus.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,,,,,,,,,,,,
c,1,2.2546,,,,,,,,0.9546,space,1.1516,0,3,3,3,1,1.3,images/target_cross.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,,,,,,,,,,,,
b,0,2.5197,,,,,,,,1.0197,space,1.7068,0,4,4,2,1,1.5,images/target_square.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,,,,,,,,,,,,
b,1,2.2199,,,,,,,,0.9199,space,0.4882,0,5,5,1,1,1.3,images/target_plus.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,,,,,,,,,,,,
v,1,1.9349,,,,,,,,0.6349,space,0.4992,0,6,6,8,1,1.3,images/target_square.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,,,,,,,,,,,,
b,1,1.9879,,,,,,,,0.8879,space,1.1108,0,7,7,7,1,1.1,images/target_plus.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,,,,,,,,,,,,
b,0,1.7217,,,,,,,,0.6217,space,1.0551,0,8,8,5,1,1.1,images/target_square.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,,,,,,,,,,,,
c,1,2.8955,,,,,,,,1.3955,,,,,,,,1.5,images/target_cross.jpg,Ana,000,2022-04-05_20h45.12.460,choiceRTT,2021.2.3,Win32,60.20469597,space,3.2638,-0.197222202,-0.122222241,0,0,0,0,0,0,6,1
