keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,4.7136,,,,,,,,3.4136,space,5.9668,0,0,0,3,1,1.3,images/target_cross.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,2.1884,,,,,,,,0.8884,,,0,1,1,1,1,1.3,images/target_plus.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,2.4075,,,,,,,,0.9075,space,3.0666,0,2,2,4,1,1.5,images/target_plus.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,1.8372,,,,,,,,0.7372,space,4.8493,0,3,3,0,1,1.1,images/target_cross.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,1.9016,,,,,,,,0.6016,space,1.9347,0,4,4,8,1,1.3,images/target_square.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,1.6857,,,,,,,,0.5857,space,1.4017,0,5,5,5,1,1.1,images/target_square.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,2.068,,,,,,,,0.568,space,1.2025,0,6,6,6,1,1.5,images/target_cross.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,1.7417,,,,,,,,0.6417,space,1.5162,0,7,7,7,1,1.1,images/target_plus.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,2.0885,,,,,,,,0.5885,,,0,8,8,2,1,1.5,images/target_square.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,0,1.8493,,,,,,,,0.7493,,,,,,,,1.1,images/target_plus.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,space,8.0905,0.062776286,-0.184980401,0,0,0,0,0,0,7,1
c,1,2.5805,,,,,,,,1.4805,,,,,,,,1.1,images/target_cross.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,1,1,0,1
c,1,2.5655,,,,,,,,1.2655,,,,,,,,1.3,images/target_cross.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,2,2,3,1
c,1,2.1147,,,,,,,,0.6147,,,,,,,,1.5,images/target_cross.jpg,Cutzi Correa,001,2022-04-01_16h11.48.620,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,3,3,6,1
