keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,correctMouseResp
v,0,6.8081,,,,,,,,5.5081,space,4.2606,0,0,0,1,1,1.3,images/target_plus.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,,,,,,
c,1,3.191,,,,,,,,2.091,space,1.44,0,1,1,0,1,1.1,images/target_cross.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,,,,,,
b,0,2.6638,,,,,,,,1.3638,space,1.7186,0,2,2,8,1,1.3,images/target_square.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,,,,,,
b,0,2.2787,,,,,,,,1.1787,space,1.1599,0,3,3,5,1,1.1,images/target_square.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,,,,,,
v,1,2.2914,,,,,,,,0.7914,space,1.2606,0,4,4,2,1,1.5,images/target_square.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,,,,,,
b,1,4.854,,,,,,,,3.754,space,1.4611,0,5,5,7,1,1.1,images/target_plus.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,,,,,,
c,1,3.4425,,,,,,,,2.1425,space,1.0207,0,6,6,3,1,1.3,images/target_cross.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,,,,,,
v,0,2.4676,,,,,,,,0.9676,space,0.5953,0,7,7,4,1,1.5,images/target_plus.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,,,,,,
b,0,2.9773,0.013020833,-0.149739583,1,0,0,0.832,,1.4773,space,1.4943,0,8,8,6,1,1.5,images/target_cross.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,,,,,,
b,0,2.8936,,,,,,,,1.3936,,,,,,,,1.5,images/target_square.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,-0.049479167,-0.240885417,1,0,0,0,0,0,2,1,
c,1,2.8291,,,,,,,,1.7291,,,,,,,,1.1,images/target_cross.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,0,1,1,0,1,
b,1,1.8719,,,,,,,,0.7719,,,,,,,,1.1,images/target_plus.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,0,2,2,7,1,
c,1,3.0523,,,,,,,,1.7523,,,,,,,,1.3,images/target_cross.jpg,Diego,001,2022-02-22_18h40.11.629,choiceRTT,2021.2.3,Win32,60.0348202,,,,,,,0,3,3,3,1,
