keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,3.7659,,,,,,,,2.6659,space,5.8616,0,0,0,0,1,1.1,images/target_cross.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,
v,1,2.3882,,,,,,,,1.0882,space,6.1899,0,1,1,8,1,1.3,images/target_square.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,
v,1,1.913,,,,,,,,0.813,space,3.3105,0,2,2,5,1,1.1,images/target_square.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,
b,0,13.6273,,,,,,,,12.1273,space,3.709,0,3,3,6,1,1.5,images/target_cross.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,
c,1,2.6647,,,,,,,,1.3647,space,1.4211,0,4,4,3,1,1.3,images/target_cross.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,
v,1,2.3124,,,,,,,,0.8124,space,1.0483,0,5,5,2,1,1.5,images/target_square.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,
b,1,2.1487,,,,,,,,0.8487,space,1.2292,0,6,6,1,1,1.3,images/target_plus.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,
b,1,2.0091,,,,,,,,0.9091,space,1.028,0,7,7,7,1,1.1,images/target_plus.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,
c,0,4.7473,,,,,,,,3.2473,space,1.2052,0,8,8,4,1,1.5,images/target_plus.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,,,,,,,,,,
c,1,3.2643,,,,,,,,1.9643,,,,,,,,1.3,images/target_cross.jpg,Esteban,001,2022-04-18_11h40.40.636,choiceRTT,2021.2.3,Win32,30.00120005,,-0.05078125,-0.22265625,1,0,0,0,0,0,3,1
