keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,0,8.1271,,,,,,,,6.6271,space,4.2015,0,0,0,6,1,1.5,images/target_cross.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,,,,,
v,1,5.8034,,,,,,,,4.3034,space,8.9042,0,1,1,2,1,1.5,images/target_square.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,,,,,
v,1,2.8557,,,,,,,,1.7557,space,3.1974,0,2,2,5,1,1.1,images/target_square.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,,,,,
v,1,2.3731,,,,,,,,1.0731,space,1.8627,0,3,3,8,1,1.3,images/target_square.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,,,,,
c,0,3.1587,,,,,,,,1.6587,space,1.661,0,4,4,4,1,1.5,images/target_plus.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,,,,,
v,0,8.5073,,,,,,,,7.4073,space,1.1821,0,5,5,0,1,1.1,images/target_cross.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,,,,,
b,1,6.4298,,,,,,,,5.1298,space,3.5817,0,6,6,1,1,1.3,images/target_plus.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,,,,,
b,1,2.4303,,,,,,,,1.3303,space,0.5955,0,7,7,7,1,1.1,images/target_plus.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,,,,,
c,1,2.5216,,,,,,,,1.2216,space,0.273,0,8,8,3,1,1.3,images/target_cross.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,,,,,
c,1,6.8662,,,,,,,,5.3662,,,,,,,,1.5,images/target_cross.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,-0.018229167,-0.25,1,0,0,0,0,0,6,1
v,1,2.1675,,,,,,,,1.0675,,,,,,,,1.1,images/target_square.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,0,1,1,5,1
b,0,2.6014,,,,,,,,1.5014,,,,,,,,1.1,images/target_cross.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,0,2,2,0,1
b,1,3.4937,,,,,,,,1.9937,,,,,,,,1.5,images/target_plus.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,0,3,3,4,1
b,1,2.5118,,,,,,,,1.2118,,,,,,,,1.3,images/target_plus.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,0,4,4,1,1
c,1,4.3536,,,,,,,,3.0536,,,,,,,,1.3,images/target_cross.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,0,5,5,3,1
b,1,2.1914,,,,,,,,1.0914,,,,,,,,1.1,images/target_plus.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,0,6,6,7,1
v,1,2.4708,,,,,,,,1.1708,,,,,,,,1.3,images/target_square.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,0,7,7,8,1
v,1,2.4693,,,,,,,,0.9693,,,,,,,,1.5,images/target_square.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,0,8,8,2,1
b,1,6.8629,,,,,,,,5.7629,,,,,,,,1.1,images/target_plus.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,1,0,9,7,1
v,1,2.297,,,,,,,,0.997,,,,,,,,1.3,images/target_square.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,1,1,10,8,1
c,1,1.8897,,,,,,,,0.5897,,,,,,,,1.3,images/target_cross.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,1,2,11,3,1
c,1,1.947,,,,,,,,0.847,,,,,,,,1.1,images/target_cross.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,1,3,12,0,1
b,1,2.164,,,,,,,,0.864,,,,,,,,1.3,images/target_plus.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,1,4,13,1,1
v,1,2.8153,,,,,,,,1.3153,,,,,,,,1.5,images/target_square.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,1,5,14,2,1
b,1,3.3952,,,,,,,,1.8952,,,,,,,,1.5,images/target_plus.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,1,6,15,4,1
c,1,2.4056,,,,,,,,0.9056,,,,,,,,1.5,images/target_cross.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,1,7,16,6,1
v,1,2.3108,,,,,,,,1.2108,,,,,,,,1.1,images/target_square.jpg,Julie,001,2022-02-22_17h49.12.656,choiceRTT,2021.2.3,Win32,60.62810719,,,,,,,1,8,17,5,1
