keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,2.3773,,,,,,,,0.8773,space,11.6977,0,0,0,6,1,1.5,images/target_cross.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,
v,0,0.737,,,,,,,,-0.363,space,4.3238,0,1,1,0,1,1.1,images/target_cross.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,
c,0,2.7291,,,,,,,,1.6291,space,3.2846,0,2,2,5,1,1.1,images/target_square.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,
v,0,0.9118,,,,,,,,-0.3882,space,2.6337,0,3,3,3,1,1.3,images/target_cross.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,
b,1,0.9795,,,,,,,,-0.3205,space,2.6511,0,4,4,1,1,1.3,images/target_plus.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,
c,0,0.8705,,,,,,,,-0.2295,space,0.9063,0,5,5,7,1,1.1,images/target_plus.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,
v,1,1.6281,,,,,,,,0.3281,space,3.4124,0,6,6,8,1,1.3,images/target_square.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,
c,0,0.8193,,,,,,,,-0.6807,space,1.6133,0,7,7,2,1,1.5,images/target_square.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,
b,1,1.8426,,,,,,,,0.3426,space,2.9457,0,8,8,4,1,1.5,images/target_plus.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,
v,0,1.6389,,,,,,,,0.5389,,,,,,,,1.1,images/target_plus.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,0.053703732,-0.26666669,1,0,0,0,0,0,7,1
c,1,1.3185,,,,,,,,-0.1815,,,,,,,,1.5,images/target_cross.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,0,1,1,6,1
b,0,1.2208,,,,,,,,-0.0792,,,,,,,,1.3,images/target_cross.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,0,2,2,3,1
c,0,1.1236,,,,,,,,-0.3764,,,,,,,,1.5,images/target_plus.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,0,3,3,4,1
v,0,1.7724,,,,,,,,0.4724,,,,,,,,1.3,images/target_plus.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,0,4,4,1,1
c,0,1.7964,,,,,,,,0.6964,,,,,,,,1.1,images/target_square.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,0,5,5,5,1
c,0,2.2087,,,,,,,,0.7087,,,,,,,,1.5,images/target_square.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,0,6,6,2,1
b,0,1.6596,,,,,,,,0.3596,,,,,,,,1.3,images/target_square.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,0,7,7,8,1
c,1,0.275,,,,,,,,-0.825,,,,,,,,1.1,images/target_cross.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,0,8,8,0,1
b,1,2.1187,,,,,,,,0.6187,,,,,,,,1.5,images/target_plus.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,1,0,9,4,1
v,1,1.8529,,,,,,,,0.3529,,,,,,,,1.5,images/target_square.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,1,1,10,2,1
b,1,1.762,,,,,,,,0.462,,,,,,,,1.3,images/target_plus.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,1,2,11,1,1
c,1,1.3779,,,,,,,,0.0779,,,,,,,,1.3,images/target_cross.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,1,3,12,3,1
b,0,1.0561,,,,,,,,-0.2439,,,,,,,,1.3,images/target_square.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,1,4,13,8,1
v,0,0.2358,,,,,,,,-0.8642,,,,,,,,1.1,images/target_cross.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,1,5,14,0,1
b,0,0.1925,,,,,,,,-1.3075,,,,,,,,1.5,images/target_cross.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,1,6,15,6,1
c,0,0.1568,,,,,,,,-0.9432,,,,,,,,1.1,images/target_square.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,1,7,16,5,1
v,0,0.4471,,,,,,,,-0.6529,,,,,,,,1.1,images/target_plus.jpg,a,001,2022-03-16_13h42.32.478,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,1,8,17,7,1
