keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,2.767,,,,,,,,1.467,b,2.7298,0,0,0,3,1,1.3,images/target_cross.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,
c,1,2.1088,,,,,,,,1.0088,b,1.5222,0,1,1,0,1,1.1,images/target_cross.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,
v,1,2.1795,,,,,,,,1.0795,b,2.9766,0,2,2,5,1,1.1,images/target_square.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,
v,1,2.5833,,,,,,,,1.2833,b,1.6978,0,3,3,8,1,1.3,images/target_square.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,
b,1,2.1883,,,,,,,,1.0883,b,1.8818,0,4,4,7,1,1.1,images/target_plus.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,
v,1,2.6993,,,,,,,,1.1993,b,2.1284,0,5,5,2,1,1.5,images/target_square.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,
c,1,2.2188,,,,,,,,0.7188,b,1.8786,0,6,6,6,1,1.5,images/target_cross.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,
b,1,2.2154,,,,,,,,0.7154,b,2.4485,0,7,7,4,1,1.5,images/target_plus.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,
b,1,1.8699,,,,,,,,0.5699,b,1.7508,0,8,8,1,1,1.3,images/target_plus.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,,,,,
b,1,2.7106,,,,,,,,1.2106,,,,,,,,1.5,images/target_plus.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,space,6.0214,0.407073793,-0.386731431,0,0,0,0,0,0,4,1
b,1,1.8539,,,,,,,,0.7539,,,,,,,,1.1,images/target_plus.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,0,1,1,7,1
c,1,2.1923,,,,,,,,1.0923,,,,,,,,1.1,images/target_cross.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,0,2,2,0,1
v,1,2.441,,,,,,,,0.941,,,,,,,,1.5,images/target_square.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,0,3,3,2,1
v,1,1.8032,,,,,,,,0.7032,,,,,,,,1.1,images/target_square.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,0,4,4,5,1
v,1,1.9064,,,,,,,,0.6064,,,,,,,,1.3,images/target_square.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,0,5,5,8,1
c,1,2.4693,,,,,,,,0.9693,,,,,,,,1.5,images/target_cross.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,0,6,6,6,1
b,1,1.907,,,,,,,,0.607,,,,,,,,1.3,images/target_plus.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,0,7,7,1,1
c,1,2.0541,,,,,,,,0.7541,,,,,,,,1.3,images/target_cross.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,0,8,8,3,1
b,0,2.4058,,,,,,,,1.3058,,,,,,,,1.1,images/target_square.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,1,0,9,5,1
v,1,2.081,,,,,,,,0.781,,,,,,,,1.3,images/target_square.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,1,1,10,8,1
b,1,1.9867,,,,,,,,0.8867,,,,,,,,1.1,images/target_plus.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,1,2,11,7,1
v,1,2.1303,,,,,,,,0.6303,,,,,,,,1.5,images/target_square.jpg,maddyaa,001,2022-02-10_09h57.33.524,choiceRTT,2021.2.3,Win32,60.06727535,,,,,,,,1,3,12,2,1
