keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,0,4.173,,,,,,,,2.673,space,13.842,0,0,0,2,1,1.5,images/target_square.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
c,1,3.287,,,,,,,,1.787,space,3.661,0,1,1,6,1,1.5,images/target_cross.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
b,0,2.848,,,,,,,,1.548,space,3.134,0,2,2,8,1,1.3,images/target_square.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
c,0,3.815,,,,,,,,2.715,space,3.299,0,3,3,7,1,1.1,images/target_plus.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
b,1,2.259,,,,,,,,0.959,space,2.064,0,4,4,1,1,1.3,images/target_plus.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
c,1,2.647,,,,,,,,1.347,space,4.371,0,5,5,3,1,1.3,images/target_cross.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
b,1,3.213,,,,,,,,1.713,space,1.467,0,6,6,4,1,1.5,images/target_plus.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
v,1,1.962,,,,,,,,0.862,space,1.157,0,7,7,5,1,1.1,images/target_square.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
b,0,1.809,,,,,,,,0.709,space,0.985,0,8,8,0,1,1.1,images/target_cross.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
b,1,3.352,,,,,,,,2.252,,,,,,,,1.1,images/target_plus.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,0.024444444,-0.245555556,1,0,0,0,0,0,7,1
v,1,2.789,,,,,,,,1.289,,,,,,,,1.5,images/target_square.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,1,1,2,1
c,1,2.662,,,,,,,,1.362,,,,,,,,1.3,images/target_cross.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,2,2,3,1
v,1,1.988,,,,,,,,0.688,,,,,,,,1.3,images/target_square.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,3,3,8,1
c,0,3.758,,,,,,,,2.458,,,,,,,,1.3,images/target_plus.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,4,4,1,1
v,1,1.796,,,,,,,,0.696,,,,,,,,1.1,images/target_square.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,5,5,5,1
c,1,2.661,,,,,,,,1.161,,,,,,,,1.5,images/target_cross.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,6,6,6,1
b,1,2.493,,,,,,,,0.993,,,,,,,,1.5,images/target_plus.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,7,7,4,1
c,1,1.939,,,,,,,,0.839,,,,,,,,1.1,images/target_cross.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,8,8,0,1
c,1,0.31,,,,,,,,-0.79,,,,,,,,1.1,images/target_cross.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,0,9,0,1
v,1,1.836,,,,,,,,0.536,,,,,,,,1.3,images/target_square.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,1,10,8,1
b,0,2.425,,,,,,,,0.925,,,,,,,,1.5,images/target_cross.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,2,11,6,1
b,1,2.914,,,,,,,,1.814,,,,,,,,1.1,images/target_plus.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,3,12,7,1
v,1,2.171,,,,,,,,0.671,,,,,,,,1.5,images/target_square.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,4,13,2,1
v,1,1.878,,,,,,,,0.778,,,,,,,,1.1,images/target_square.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,5,14,5,1
b,1,2.395,,,,,,,,1.095,,,,,,,,1.3,images/target_plus.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,6,15,1,1
c,0,2.493,,,,,,,,0.993,,,,,,,,1.5,images/target_plus.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,7,16,4,1
c,1,2.059,,,,,,,,0.759,,,,,,,,1.3,images/target_cross.jpg,mar,001,2022-04-29_21h37.12.816,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,8,17,3,1
