keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,5.365,,,,,,,,4.265,space,5.401,0,0,0,5,1,1.1,images/target_square.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
b,1,3.34,,,,,,,,1.84,space,3.063,0,1,1,4,1,1.5,images/target_plus.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,1,2.539,,,,,,,,1.039,space,2.269,0,2,2,6,1,1.5,images/target_cross.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
b,1,1.957,,,,,,,,0.857,space,1.612,0,3,3,7,1,1.1,images/target_plus.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,1,2.99,,,,,,,,1.89,space,8.673,0,4,4,0,1,1.1,images/target_cross.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
b,1,2.191,,,,,,,,0.891,space,1.298,0,5,5,1,1,1.3,images/target_plus.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
v,1,2.092,,,,,,,,0.592,space,0.695,0,6,6,2,1,1.5,images/target_square.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,1,1.825,,,,,,,,0.525,space,0.478,0,7,7,3,1,1.3,images/target_cross.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
v,1,1.742,,,,,,,,0.442,space,0.878,0,8,8,8,1,1.3,images/target_square.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,1,1.692,,,,,,,,0.592,,,,,,,,1.1,images/target_cross.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,space,2.732,0.231481481,-0.334490741,0,0,0,0,0,0,0,1
v,1,4.206,,,,,,,,2.706,,,,,,,,1.5,images/target_square.jpg,pau,001,2022-04-07_12h03.49.693,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,1,1,2,1
