keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,4.0387,,,,,,,,2.9387,b,8.4886,0,0,0,7,1,1.1,images/target_plus.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,,,,,
c,1,4.1432,,,,,,,,3.0432,b,3.732,0,1,1,0,1,1.1,images/target_cross.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,,,,,
c,1,2.5263,,,,,,,,1.0263,c,3.2097,0,2,2,6,1,1.5,images/target_cross.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,,,,,
v,1,2.2371,,,,,,,,1.1371,v,2.5679,0,3,3,5,1,1.1,images/target_square.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,,,,,
v,1,2.353,,,,,,,,1.053,v,1.1566,0,4,4,8,1,1.3,images/target_square.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,,,,,
c,0,2.7905,,,,,,,,1.2905,c,1.9503,0,5,5,4,1,1.5,images/target_plus.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,,,,,
v,1,2.4029,,,,,,,,0.9029,v,0.898,0,6,6,2,1,1.5,images/target_square.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,,,,,
c,1,3.077,,,,,,,,1.777,c,0.9706,0,7,7,3,1,1.3,images/target_cross.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,,,,,
b,1,2.0919,,,,,,,,0.7919,b,0.6667,0,8,8,1,1,1.3,images/target_plus.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,,,,,
c,1,6.808,,,,,,,,5.308,,,,,,,,1.5,images/target_cross.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,space,4.9194,0.384114583,-0.125,0,0,0,0,0,0,6,1
b,1,2.2429,,,,,,,,0.9429,,,,,,,,1.3,images/target_plus.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,0,1,1,1,1
b,1,2.3257,,,,,,,,0.8257,,,,,,,,1.5,images/target_plus.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,0,2,2,4,1
v,1,1.7558,,,,,,,,0.6558,,,,,,,,1.1,images/target_square.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,0,3,3,5,1
v,1,1.9422,,,,,,,,0.6422,,,,,,,,1.3,images/target_square.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,0,4,4,8,1
b,1,1.9542,,,,,,,,0.8542,,,,,,,,1.1,images/target_plus.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,0,5,5,7,1
c,1,1.9214,,,,,,,,0.6214,,,,,,,,1.3,images/target_cross.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,0,6,6,3,1
v,1,2.1708,,,,,,,,0.6708,,,,,,,,1.5,images/target_square.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,0,7,7,2,1
c,1,2.4889,,,,,,,,1.3889,,,,,,,,1.1,images/target_cross.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,0,8,8,0,1
c,1,1.8369,,,,,,,,0.5369,,,,,,,,1.3,images/target_cross.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,1,0,9,3,1
v,1,2.217,,,,,,,,0.717,,,,,,,,1.5,images/target_square.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,1,1,10,2,1
v,0,2.0917,,,,,,,,0.7917,,,,,,,,1.3,images/target_plus.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,1,2,11,1,1
c,0,2.1859,,,,,,,,1.0859,,,,,,,,1.1,images/target_plus.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,1,3,12,7,1
b,1,2.182,,,,,,,,0.682,,,,,,,,1.5,images/target_plus.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,1,4,13,4,1
v,1,1.9481,,,,,,,,0.8481,,,,,,,,1.1,images/target_square.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,1,5,14,5,1
c,1,1.9835,,,,,,,,0.8835,,,,,,,,1.1,images/target_cross.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,1,6,15,0,1
c,1,2.3788,,,,,,,,0.8788,,,,,,,,1.5,images/target_cross.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,1,7,16,6,1
v,1,1.983,,,,,,,,0.683,,,,,,,,1.3,images/target_square.jpg,tryout,001,2022-04-13_11h15.32.228,choiceRTT,2021.2.3,Win32,60.11421701,,,,,,,,1,8,17,8,1
