subject,stimulus,condition,key_resp.keys,response,key_resp.rt,group
1,"","","","",,1
1,<<<<<,congruent,left,left,0.485916699748486,1
1,<<><<,incongruent,right,right,0.608736400026828,1
1,>>>>>,congruent,right,right,0.517570099793375,1
1,>>>>>,congruent,right,right,1.38936709985137,1
1,>><>>,incongruent,left,left,0.560184299945831,1
1,<<<<<,congruent,left,left,0.552261500153691,1
1,>>>>>,congruent,right,right,0.518559399992228,1
1,<<<<<,congruent,left,left,0.526068800128996,1
1,<<<<<,congruent,left,left,0.520273400004953,1
1,>>>>>,congruent,right,right,1.9479860002175,1
2,"","","","",,2
2,<<<<<,congruent,right,left,0.690562800009502,2
2,<<<<<,congruent,right,left,0.506446299987147,2
2,>><>>,incongruent,left,left,0.505485400004545,2
2,<<><<,incongruent,left,right,0.512585100019351,2
2,<<<<<,congruent,left,left,0.520221400016453,2
2,>>>>>,congruent,right,right,0.542835200001719,2
2,>>>>>,congruent,right,right,0.500514799990924,2
2,>>>>>,congruent,right,right,0.436295599996811,2
2,<<<<<,congruent,left,left,0.43822270000237,2
2,>>>>>,congruent,left,right,0.440031099977205,2
2,"","","","",,2
3,"","","","",,1
3,<<<<<,congruent,left,left,0.883399799990002,1
3,<<<<<,congruent,left,left,0.524052599997958,1
3,>>>>>,congruent,right,right,0.401464900001884,1
3,<<><<,incongruent,right,right,0.380953699990641,1
3,>>>>>,congruent,left,right,1.04164559999481,1
3,<<<<<,congruent,right,left,0.563128999987384,1
3,>>>>>,congruent,left,right,0.736340200004634,1
3,>><>>,incongruent,left,left,0.589823699992849,1
3,>>>>>,congruent,right,right,0.473999399982858,1
3,<<<<<,congruent,left,left,0.458168599987403,1
3,"","","","",,1
4,>>>>>,congruent,right,right,0.5508,2
4,>>>>>,congruent,right,right,0.4206,2
4,>>>>>,congruent,right,right,0.3898,2
4,<<<<<,congruent,left,left,0.5686,2
4,<<<<<,congruent,left,left,0.4186,2
4,<<<<<,congruent,left,left,0.3857,2
4,<<><<,incongruent,right,right,0.6855,2
4,>><>>,incongruent,right,left,1.0023,2
4,>>>>>,congruent,left,right,0.9182,2
4,<<<<<,congruent,right,left,0.6858,2
5,<<<<<,congruent,left,left,1.1717,1
5,>>>>>,congruent,right,right,0.4514,1
5,>>>>>,congruent,right,right,0.4341,1
5,<<<<<,congruent,left,left,0.384,1
5,<<><<,incongruent,right,right,0.223,1
5,>>>>>,congruent,left,right,0.3354,1
5,<<<<<,congruent,right,left,0.1342,1
5,>><>>,incongruent,right,left,0.034,1
5,>>>>>,congruent,left,right,0.0842,1
6,>>>>>,congruent,right,right,1.1422,2
6,<<<<<,congruent,left,left,0.581,2
6,<<<<<,congruent,left,left,0.4672,2
6,>>>>>,congruent,right,right,0.441,2
6,<<><<,incongruent,right,right,1.0211,2
6,<<<<<,congruent,left,left,0.4961,2
6,<<<<<,congruent,left,left,0.454,2
6,>>>>>,congruent,right,right,0.402,2
6,>><>>,incongruent,left,left,0.5336,2
6,>>>>>,congruent,right,right,0.4742,2
7,<<<<<,congruent,left,left,0.463,1
7,<<<<<,congruent,left,left,0.353,1
7,>><>>,incongruent,right,left,0.403,1
7,<<><<,incongruent,right,right,0.496,1
7,>>>>>,congruent,right,right,0.389,1
7,<<<<<,congruent,left,left,0.364,1
7,<<<<<,congruent,left,left,0.391,1
7,>>>>>,congruent,right,right,0.372,1
7,>>>>>,congruent,right,right,0.378,1
7,>>>>>,congruent,right,right,0.368,1
8,<<<<<,congruent,left,left,0.558,2
8,>><>>,incongruent,right,left,0.389,2
8,>>>>>,congruent,right,right,0.569,2
8,>>>>>,congruent,right,right,0.534,2
8,>>>>>,congruent,right,right,0.62,2
8,<<<<<,congruent,left,left,0.46,2
8,<<><<,incongruent,right,right,5.066,2
8,<<<<<,congruent,left,left,0.583,2
8,<<<<<,congruent,left,left,0.652,2
8,>>>>>,congruent,right,right,0.499,2
11,>>>>>,congruent,right,right,0.386695,1
11,<<<<<,congruent,left,left,0.348155,1
11,<<<<<,congruent,left,left,0.42343,1
11,<<><<,incongruent,right,right,0.485385,1
11,<<<<<,congruent,left,left,0.46251,1
11,>><>>,incongruent,left,left,0.58692,1
11,>>>>>,congruent,right,right,0.553705,1
11,>>>>>,congruent,right,right,0.4872,1
11,<<<<<,congruent,left,left,0.45721,1
11,>>>>>,congruent,right,right,0.63588,1
12,>><>>,incongruent,left,left,0.6166,2
13,<<<<<,congruent,left,left,0.4478,1
13,>>>>>,congruent,right,right,0.4433,1
13,>><>>,incongruent,left,left,0.5109,1
13,>>>>>,congruent,right,right,0.4452,1
13,>>>>>,congruent,right,right,0.6707,1
13,<<<<<,congruent,left,left,0.4807,1
13,<<><<,incongruent,right,right,0.5277,1
13,<<<<<,congruent,left,left,0.3953,1
13,<<<<<,congruent,left,left,0.4162,1
13,>>>>>,congruent,right,right,0.4366,1
14,>><>>,incongruent,left,left,0.912,2
14,>>>>>,congruent,left,right,0.283,2
14,<<<<<,congruent,left,left,0.267,2
14,<<><<,incongruent,left,right,0.082,2
14,<<<<<,congruent,left,left,0.175,2
14,<<<<<,congruent,left,left,0.085,2
15,<<><<,incongruent,right,right,0.7688,1
15,>>>>>,congruent,right,right,0.4874,1
15,>>>>>,congruent,right,right,0.4501,1
15,<<<<<,congruent,left,left,0.4471,1
15,>><>>,incongruent,left,left,0.6362,1
15,<<<<<,congruent,left,left,0.4901,1
15,<<<<<,congruent,left,left,0.6254,1
15,<<<<<,congruent,left,left,0.4777,1
15,>>>>>,congruent,right,right,0.4526,1
15,>>>>>,congruent,right,right,0.4322,1
16,>>>>>,congruent,right,right,1.038,2
16,<<<<<,congruent,left,left,0.3504,2
16,<<<<<,congruent,left,left,0.336,2
16,>><>>,incongruent,right,left,0.2915,2
16,>>>>>,congruent,right,right,0.4035,2
16,>>>>>,congruent,right,right,0.3671,2
16,<<><<,incongruent,left,right,0.3128,2
16,>>>>>,congruent,right,right,0.3708,2
16,<<<<<,congruent,left,left,0.3222,2
16,<<<<<,congruent,left,left,0.3533,2
17,<<<<<,congruent,left,left,1.0072,1
17,<<<<<,congruent,left,left,0.6183,1
17,>>>>>,congruent,right,right,0.4299,1
17,>><>>,incongruent,right,left,1.3963,1
17,<<<<<,congruent,left,left,0.653,1
17,>>>>>,congruent,right,right,0.7495,1
17,<<><<,incongruent,left,right,2.6941,1
17,>>>>>,congruent,right,right,0.4764,1
17,<<<<<,congruent,left,left,0.4187,1
17,>>>>>,congruent,right,right,0.3992,1
18,>>>>>,congruent,right,right,1.312,2
18,<<<<<,congruent,left,left,0.494,2
18,>>>>>,congruent,right,right,0.425,2
18,<<><<,incongruent,left,right,0.358,2
18,>>>>>,congruent,right,right,0.526,2
18,<<<<<,congruent,left,left,0.435,2
18,>><>>,incongruent,right,left,0.426,2
18,<<<<<,congruent,left,left,0.95,2
19,<<><<,incongruent,left,right,6.2949,1
19,<<<<<,congruent,left,left,0.6231,1
19,<<<<<,congruent,left,left,0.345,1
19,>><>>,incongruent,left,left,0.5269,1
19,<<<<<,congruent,left,left,0.8586,1
19,>>>>>,congruent,left,right,0.8601,1
19,>>>>>,congruent,left,right,0.4843,1
19,>>>>>,congruent,left,right,0.4842,1
19,>>>>>,congruent,left,right,0.4838,1
19,<<<<<,congruent,left,left,0.2737,1
