startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,6.667,right,1,0.5508,0,0,0,7,1,>>>>>,congruent,right,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
,,right,1,0.4206,0,1,1,3,1,>>>>>,congruent,right,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
,,right,1,0.3898,0,2,2,1,1,>>>>>,congruent,right,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
,,left,1,0.5686,0,3,3,0,1,<<<<<,congruent,left,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
,,left,1,0.4186,0,4,4,4,1,<<<<<,congruent,left,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
,,left,1,0.3857,0,5,5,6,1,<<<<<,congruent,left,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
,,right,1,0.6855,0,6,6,8,1,<<><<,incongruent,right,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
,,right,0,1.0023,0,7,7,9,1,>><>>,incongruent,left,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
,,left,0,0.9182,0,8,8,5,1,>>>>>,congruent,right,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
,,right,0,0.6858,0,9,9,2,1,<<<<<,congruent,left,101,001,2022-05-03_09h57.52.241,flanker-basic,2021.2.3,Win32,59.73002031
