resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,2.7559,0,0,0,3,1,green,blue,right,0,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
down,1,2.0103,0,1,1,1,1,red,green,down,0,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
down,1,1.0258,0,2,2,2,1,green,green,down,1,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
left,1,1.7576,0,3,3,5,1,blue,red,left,0,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
right,1,2.0636,0,4,4,4,1,blue,blue,right,1,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
left,1,1.1297,0,5,5,0,1,red,red,left,1,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
left,1,1.0522,1,0,6,0,1,red,red,left,1,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
down,1,1.4675,1,1,7,2,1,green,green,down,1,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
right,1,1.3666,1,2,8,4,1,blue,blue,right,1,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
down,1,2.2972,1,3,9,1,1,red,green,down,0,1,001,2022-02-26_16h28.04.728,stroop,2021.2.3,MacIntel,120.0048002
