resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,4.613,0,0,0,1,1,red,green,down,0,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
right,0,1.157,0,1,1,2,1,green,green,down,1,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.931,0,2,2,5,1,blue,red,left,0,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
right,1,5.977,0,3,3,3,1,green,blue,right,0,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.413,0,4,4,4,1,blue,blue,right,1,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.625,0,5,5,0,1,red,red,left,1,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.948,1,0,6,5,1,blue,red,left,0,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.63,1,1,7,4,1,blue,blue,right,1,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.598,1,2,8,3,1,green,blue,right,0,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
left,0,0.674,1,3,9,1,1,red,green,down,0,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
down,1,2.028,1,4,10,2,1,green,green,down,1,47093916,001,2022-03-18_12h12.23,stroop,2021.2.3,MacIntel,58.82352941
