resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,0,1.107,0,0,0,3,1,green,blue,right,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
right,0,1.601,0,1,1,1,1,red,green,down,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
right,0,0.79,0,2,2,0,1,red,red,left,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,0,6.415,0,3,3,4,1,blue,blue,right,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,1,0.85,0,4,4,5,1,blue,red,left,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,1,1.002,0,5,5,2,1,green,green,down,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,1,0.878,1,0,6,1,1,red,green,down,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
right,0,0.761,1,1,7,0,1,red,red,left,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,0,2.109,1,2,8,4,1,blue,blue,right,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,1,3.05,1,3,9,5,1,blue,red,left,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,1,1.13,1,4,10,2,1,green,green,down,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
right,1,0.755,1,5,11,3,1,green,blue,right,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
right,1,0.859,2,0,12,4,1,blue,blue,right,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
right,1,1.083,2,1,13,3,1,green,blue,right,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,1,0.909,2,2,14,2,1,green,green,down,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
right,0,1.101,2,3,15,1,1,red,green,down,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,1,1.383,2,4,16,5,1,blue,red,left,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,1,1.038,2,5,17,0,1,red,red,left,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,1,0.923,3,0,18,2,1,green,green,down,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
right,1,1.642,3,1,19,4,1,blue,blue,right,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,0,2.448,3,2,20,3,1,green,blue,right,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,1,1.192,3,3,21,1,1,red,green,down,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,1,1.192,3,4,22,0,1,red,red,left,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,1,1.067,3,5,23,5,1,blue,red,left,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,1,0.785,4,0,24,0,1,red,red,left,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,0,1.006,4,1,25,3,1,green,blue,right,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,1,1.224,4,2,26,1,1,red,green,down,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
down,1,0.802,4,3,27,2,1,green,green,down,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
right,1,0.942,4,4,28,4,1,blue,blue,right,1,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
left,1,1.378,4,5,29,5,1,blue,red,left,0,A1ET0GNQV21YJJ,001,2022-02-02_13h29.29.067,stroop,2021.2.3,Win32,32
