resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.5358,0,0,0,5,1,blue,red,left,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,0.9999,0,1,1,4,1,blue,blue,right,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
left,1,0.499,0,2,2,0,1,red,red,left,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,0.5778,0,3,3,3,1,green,blue,right,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.358,0,4,4,2,1,green,green,down,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.5903,0,5,5,1,1,red,green,down,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
left,1,0.433,1,0,6,5,1,blue,red,left,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,0.4044,1,1,7,4,1,blue,blue,right,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.542,1,2,8,2,1,green,green,down,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.6391,1,3,9,1,1,red,green,down,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,0.7293,1,4,10,3,1,green,blue,right,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
left,1,0.4343,1,5,11,0,1,red,red,left,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,0.6219,2,0,12,4,1,blue,blue,right,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
left,1,0.5018,2,1,13,5,1,blue,red,left,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,1.0555,2,2,14,3,1,green,blue,right,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
left,1,0.7454,2,3,15,0,1,red,red,left,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.5658,2,4,16,2,1,green,green,down,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.6342,2,5,17,1,1,red,green,down,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.3297,3,0,18,1,1,red,green,down,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,0.5366,3,1,19,4,1,blue,blue,right,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,0.466,3,2,20,3,1,green,blue,right,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
left,1,0.5058,3,3,21,0,1,red,red,left,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
left,1,0.6031,3,4,22,5,1,blue,red,left,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.4986,3,5,23,2,1,green,green,down,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
left,1,0.6211,4,0,24,5,1,blue,red,left,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
left,1,0.3656,4,1,25,0,1,red,red,left,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.7132,4,2,26,2,1,green,green,down,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,0.4491,4,3,27,4,1,blue,blue,right,1,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
right,1,0.7459,4,4,28,3,1,green,blue,right,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
down,1,0.7018,4,5,29,1,1,red,green,down,0,Aldz,001,2022-02-07_14h57.30.567,stroop,2021.2.3,Win32,60.55834797
