resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,1.1829,0,0,0,2,1,green,green,down,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,1.4884,0,1,1,5,1,blue,red,left,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
right,1,0.8628,0,2,2,3,1,green,blue,right,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,1,1.0144,0,3,3,1,1,red,green,down,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,1.1278,0,4,4,0,1,red,red,left,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
right,1,1.2483,0,5,5,4,1,blue,blue,right,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,1.0353,1,0,6,5,1,blue,red,left,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,1,0.8635,1,1,7,1,1,red,green,down,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
right,1,1.6795,1,2,8,4,1,blue,blue,right,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,1.5221,1,3,9,0,1,red,red,left,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,0,0.9744,1,4,10,3,1,green,blue,right,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,1,1.0628,1,5,11,2,1,green,green,down,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,1,1.6285,2,0,12,2,1,green,green,down,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,1,1.2316,2,1,13,1,1,red,green,down,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,0.8308,2,2,14,5,1,blue,red,left,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
right,1,0.9682,2,3,15,4,1,blue,blue,right,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
right,1,0.8106,2,4,16,3,1,green,blue,right,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,1.3486,2,5,17,0,1,red,red,left,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
right,1,1.107,3,0,18,4,1,blue,blue,right,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
right,1,0.7234,3,1,19,3,1,green,blue,right,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,1.9444,3,2,20,5,1,blue,red,left,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,1.0181,3,3,21,0,1,red,red,left,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,1,0.8801,3,4,22,1,1,red,green,down,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,1,0.6275,3,5,23,2,1,green,green,down,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,1.3824,4,0,24,0,1,red,red,left,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,1,0.6107,4,1,25,1,1,red,green,down,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
down,1,0.4776,4,2,26,2,1,green,green,down,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
right,1,0.4562,4,3,27,4,1,blue,blue,right,1,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
left,1,0.5772,4,4,28,5,1,blue,red,left,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
right,1,0.5974,4,5,29,3,1,green,blue,right,0,Anika,001,2022-03-15_12h21.06.571,stroop,2021.2.3,Win32,59.91252771
