resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,0.9894,0,0,0,1,1,red,green,down,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
right,1,0.6323,0,1,1,3,1,green,blue,right,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,0.5732,0,2,2,5,1,blue,red,left,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,0.6207,0,3,3,0,1,red,red,left,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
right,1,0.8834,0,4,4,4,1,blue,blue,right,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,1,0.5847,0,5,5,2,1,green,green,down,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
right,1,1.6364,1,0,6,3,1,green,blue,right,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,1.132,1,1,7,5,1,blue,red,left,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,1,1.0606,1,2,8,1,1,red,green,down,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,0.6589,1,3,9,0,1,red,red,left,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,1,0.565,1,4,10,2,1,green,green,down,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
right,1,0.5073,1,5,11,4,1,blue,blue,right,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,0.572,2,0,12,5,1,blue,red,left,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,0,0.3753,2,1,13,3,1,green,blue,right,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,1,0.6269,2,2,14,2,1,green,green,down,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
right,1,0.4406,2,3,15,4,1,blue,blue,right,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,1,0.7432,2,4,16,1,1,red,green,down,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,0.4249,2,5,17,0,1,red,red,left,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,0.4658,3,0,18,0,1,red,red,left,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,1,0.9255,3,1,19,1,1,red,green,down,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
right,1,0.4687,3,2,20,3,1,green,blue,right,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
right,1,0.7432,3,3,21,4,1,blue,blue,right,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,0.5732,3,4,22,5,1,blue,red,left,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,1,0.4876,3,5,23,2,1,green,green,down,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,1,0.369,4,0,24,2,1,green,green,down,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
right,1,0.6607,4,1,25,4,1,blue,blue,right,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
down,0,0.5952,4,2,26,3,1,green,blue,right,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,0.5118,4,3,27,5,1,blue,red,left,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
left,1,0.5555,4,4,28,0,1,red,red,left,1,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
right,0,0.526,4,5,29,1,1,red,green,down,0,Ashraf,001,2022-03-08_15h34.48.214,stroop,2021.2.3,Win32,143.5338022
