resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.429,0,0,0,3,1,green,blue,right,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,1.32,0,1,1,2,1,green,green,down,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,1.168,0,2,2,1,1,red,green,down,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
right,1,0.884,0,3,3,4,1,blue,blue,right,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,0.576,0,4,4,5,1,blue,red,left,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,0.668,0,5,5,0,1,red,red,left,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,0.7,1,0,6,5,1,blue,red,left,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,0.634,1,1,7,1,1,red,green,down,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,0.618,1,2,8,0,1,red,red,left,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,0,0.784,1,3,9,3,1,green,blue,right,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
right,1,2.267,1,4,10,4,1,blue,blue,right,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,0.569,1,5,11,2,1,green,green,down,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,0.818,2,0,12,1,1,red,green,down,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
right,1,3.178,2,1,13,3,1,green,blue,right,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
right,1,0.836,2,2,14,4,1,blue,blue,right,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,0.469,2,3,15,0,1,red,red,left,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,0.436,2,4,16,5,1,blue,red,left,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,0.477,2,5,17,2,1,green,green,down,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,0.434,3,0,18,2,1,green,green,down,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
right,1,0.748,3,1,19,4,1,blue,blue,right,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
right,1,0.651,3,2,20,3,1,green,blue,right,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,1.119,3,3,21,1,1,red,green,down,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,1.269,3,4,22,5,1,blue,red,left,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,0.718,3,5,23,0,1,red,red,left,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,0.53,4,0,24,0,1,red,red,left,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
right,1,0.809,4,1,25,3,1,green,blue,right,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,0.516,4,2,26,1,1,red,green,down,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
right,1,0.668,4,3,27,4,1,blue,blue,right,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
left,1,0.835,4,4,28,5,1,blue,red,left,0,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
down,1,0.431,4,5,29,2,1,green,green,down,1,Bernard Culala,001,2022-03-07_13h14.21,stroop,2021.2.3,MacIntel,66.66666667
