resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,3.1997,0,0,0,3,1,green,blue,right,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,0.8034,0,1,1,0,1,red,red,left,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,0.5178,0,2,2,2,1,green,green,down,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
right,1,1.679,0,3,3,4,1,blue,blue,right,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,1.0918,0,4,4,5,1,blue,red,left,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,1.1515,0,5,5,1,1,red,green,down,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,0.9293,1,0,6,1,1,red,green,down,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,1.1509,1,1,7,5,1,blue,red,left,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
right,1,0.8851,1,2,8,4,1,blue,blue,right,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,0.7689,1,3,9,2,1,green,green,down,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
right,1,1.8966,1,4,10,3,1,green,blue,right,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,0.5376,1,5,11,0,1,red,red,left,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,0.6178,2,0,12,0,1,red,red,left,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
right,1,0.7862,2,1,13,4,1,blue,blue,right,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,0.8446,2,2,14,5,1,blue,red,left,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,0.6448,2,3,15,1,1,red,green,down,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,0.5689,2,4,16,2,1,green,green,down,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
right,1,0.8552,2,5,17,3,1,green,blue,right,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,0.7035,3,0,18,1,1,red,green,down,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,0.5943,3,1,19,0,1,red,red,left,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,0.6593,3,2,20,2,1,green,green,down,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
right,1,1.8943,3,3,21,3,1,green,blue,right,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
right,1,1.557,3,4,22,4,1,blue,blue,right,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,0.7549,3,5,23,5,1,blue,red,left,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
right,1,1.1518,4,0,24,4,1,blue,blue,right,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,0.6909,4,1,25,1,1,red,green,down,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,0.5852,4,2,26,0,1,red,red,left,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
left,1,0.5223,4,3,27,5,1,blue,red,left,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
down,1,0.5837,4,4,28,2,1,green,green,down,1,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
right,1,0.6753,4,5,29,3,1,green,blue,right,0,COGS2020 participant22,001,2022-03-18_14h08.32.071,stroop,2021.2.3,Win32,59.96282305
