resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,0.909,0,0,0,5,1,blue,red,left,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.951,0,1,1,4,1,blue,blue,right,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.896,0,2,2,3,1,green,blue,right,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.551,0,3,3,1,1,red,green,down,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.513,0,4,4,2,1,green,green,down,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.544,0,5,5,0,1,red,red,left,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.647,1,0,6,2,1,green,green,down,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.583,1,1,7,3,1,green,blue,right,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,0,1.199,1,2,8,1,1,red,green,down,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
left,1,1.284,1,3,9,0,1,red,red,left,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,1,1.035,1,4,10,4,1,blue,blue,right,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.751,1,5,11,5,1,blue,red,left,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,1,1.02,2,0,12,3,1,green,blue,right,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.569,2,1,13,2,1,green,green,down,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.948,2,2,14,4,1,blue,blue,right,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.478,2,3,15,0,1,red,red,left,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.913,2,4,16,1,1,red,green,down,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
left,1,1.053,2,5,17,5,1,blue,red,left,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.954,3,0,18,5,1,blue,red,left,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.665,3,1,19,0,1,red,red,left,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.921,3,2,20,4,1,blue,blue,right,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.715,3,3,21,3,1,green,blue,right,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.73,3,4,22,2,1,green,green,down,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.666,3,5,23,1,1,red,green,down,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.645,4,0,24,3,1,green,blue,right,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.596,4,1,25,5,1,blue,red,left,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.722,4,2,26,1,1,red,green,down,0,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
right,1,1.415,4,3,27,4,1,blue,blue,right,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
down,1,1.037,4,4,28,2,1,green,green,down,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.554,4,5,29,0,1,red,red,left,1,IL,001,2022-03-18_14h08.34.289,stroop,2021.2.3,MacIntel,58.82352941
