resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,2.5061,0,0,0,5,1,blue,red,left,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.9924,0,1,1,2,1,green,green,down,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.4162,0,2,2,4,1,blue,blue,right,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,4.2747,0,3,3,3,1,green,blue,right,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6071,0,4,4,0,1,red,red,left,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6402,0,5,5,1,1,red,green,down,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.0646,1,0,6,4,1,blue,blue,right,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,0,0.9913,1,1,7,2,1,green,green,down,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.1636,1,2,8,0,1,red,red,left,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.9652,1,3,9,1,1,red,green,down,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,1,3.4489,1,4,10,5,1,blue,red,left,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.5102,1,5,11,3,1,green,blue,right,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.5844,2,0,12,1,1,red,green,down,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7918,2,1,13,5,1,blue,red,left,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5551,2,2,14,4,1,blue,blue,right,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.7556,2,3,15,3,1,green,blue,right,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6787,2,4,16,0,1,red,red,left,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.8263,2,5,17,2,1,green,green,down,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.2282,3,0,18,1,1,red,green,down,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.365,3,1,19,3,1,green,blue,right,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.596,3,2,20,5,1,blue,red,left,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5739,3,3,21,4,1,blue,blue,right,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6205,3,4,22,0,1,red,red,left,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6311,3,5,23,2,1,green,green,down,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7888,4,0,24,5,1,blue,red,left,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.4172,4,1,25,0,1,red,red,left,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.5545,4,2,26,2,1,green,green,down,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5031,4,3,27,4,1,blue,blue,right,1,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.4323,4,4,28,1,1,red,green,down,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.7163,4,5,29,3,1,green,blue,right,0,Krisia Guadana,001,2022-03-15_17h01.53.308,stroop,2021.2.3,MacIntel,60.0024001
