resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,0.722,0,0,0,5,1,blue,red,left,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
left,1,0.927,0,1,1,0,1,red,red,left,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,1.272,0,2,2,3,1,green,blue,right,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
down,1,0.503,0,3,3,2,1,green,green,down,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
down,1,0.548,0,4,4,1,1,red,green,down,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,0.465,0,5,5,4,1,blue,blue,right,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
down,1,0.449,1,0,6,2,1,green,green,down,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
down,1,0.818,1,1,7,1,1,red,green,down,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,0.725,1,2,8,4,1,blue,blue,right,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
left,1,0.544,1,3,9,0,1,red,red,left,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,0.845,1,4,10,3,1,green,blue,right,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
left,1,0.614,1,5,11,5,1,blue,red,left,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
down,1,0.785,2,0,12,1,1,red,green,down,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
down,1,0.421,2,1,13,2,1,green,green,down,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
left,1,1.165,2,2,14,0,1,red,red,left,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,0.42,2,3,15,4,1,blue,blue,right,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,0.44,2,4,16,3,1,green,blue,right,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
left,1,0.58,2,5,17,5,1,blue,red,left,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
down,1,0.579,3,0,18,2,1,green,green,down,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,0.5,3,1,19,3,1,green,blue,right,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
left,1,0.469,3,2,20,0,1,red,red,left,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,0,0.788,3,3,21,1,1,red,green,down,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
left,1,1.108,3,4,22,5,1,blue,red,left,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,0.551,3,5,23,4,1,blue,blue,right,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
down,1,0.574,4,0,24,2,1,green,green,down,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
left,1,0.986,4,1,25,5,1,blue,red,left,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
left,1,0.48,4,2,26,0,1,red,red,left,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,0.506,4,3,27,4,1,blue,blue,right,1,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
down,1,0.526,4,4,28,1,1,red,green,down,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
right,1,1.12,4,5,29,3,1,green,blue,right,0,Luke,001,2022-03-15_14h20.00.744,stroop,2021.2.3,Win32,60.0240096
