resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,2.13858,0,0,0,4,1,blue,blue,right,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,1.148825,0,1,1,5,1,blue,red,left,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,1,0.66443,0,2,2,2,1,green,green,down,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,1.2972,0,3,3,0,1,red,red,left,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
right,1,1.9168,0,4,4,3,1,green,blue,right,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,1,1.86591,0,5,5,1,1,red,green,down,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,0.79123,1,0,6,5,1,blue,red,left,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,0.650765,1,1,7,0,1,red,red,left,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,1,0.775885,1,2,8,1,1,red,green,down,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,1,0.586305,1,3,9,2,1,green,green,down,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
right,1,0.950105,1,4,10,4,1,blue,blue,right,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
right,1,0.80057,1,5,11,3,1,green,blue,right,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,0.70114,2,0,12,5,1,blue,red,left,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,1,0.686885,2,1,13,2,1,green,green,down,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
right,1,0.85067,2,2,14,4,1,blue,blue,right,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
right,1,0.70006,2,3,15,3,1,green,blue,right,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,0.70118,2,4,16,0,1,red,red,left,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,1,0.55379,2,5,17,1,1,red,green,down,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,1,0.683775,3,0,18,2,1,green,green,down,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
right,1,0.764955,3,1,19,3,1,green,blue,right,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,1,1.752895,3,2,20,1,1,red,green,down,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
right,1,0.87226,3,3,21,4,1,blue,blue,right,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,0.75098,3,4,22,5,1,blue,red,left,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,0.634355,3,5,23,0,1,red,red,left,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
right,1,1.900285,4,0,24,3,1,green,blue,right,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,1.489835,4,1,25,5,1,blue,red,left,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,0,3.14958,4,2,26,4,1,blue,blue,right,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
down,1,2.565885,4,3,27,2,1,green,green,down,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,1,1.29955,4,4,28,0,1,red,red,left,1,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
left,0,4.098015,4,5,29,1,1,red,green,down,0,,001,2022-03-11_20h07.47.918,stroop,2021.2.3,Win32,60.0024001
