resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.6628,0,0,0,0,1,red,red,left,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,2.4775,0,1,1,3,1,green,blue,right,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,1.3132,0,2,2,2,1,green,green,down,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,0.9367,0,3,3,1,1,red,green,down,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,1.1784,0,4,4,4,1,blue,blue,right,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
left,1,1.3366,0,5,5,5,1,blue,red,left,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,0.7526,1,0,6,4,1,blue,blue,right,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,1.2635,1,1,7,3,1,green,blue,right,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,0.8663,1,2,8,2,1,green,green,down,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,1.0163,1,3,9,1,1,red,green,down,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
left,1,0.7403,1,4,10,0,1,red,red,left,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
left,1,0.4371,1,5,11,5,1,blue,red,left,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,0.9341,2,0,12,3,1,green,blue,right,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,4.0476,2,1,13,1,1,red,green,down,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,1.0111,2,2,14,4,1,blue,blue,right,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,2.1672,2,3,15,2,1,green,green,down,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
left,1,0.8742,2,4,16,0,1,red,red,left,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
left,1,0.4008,2,5,17,5,1,blue,red,left,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,1.0193,3,0,18,2,1,green,green,down,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,0.8335,3,1,19,1,1,red,green,down,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,0.6379,3,2,20,3,1,green,blue,right,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,0.8334,3,3,21,5,1,blue,red,left,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,1.1497,3,4,22,4,1,blue,blue,right,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
left,1,0.7439,3,5,23,0,1,red,red,left,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,0.7029,4,0,24,2,1,green,green,down,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,1,0.4404,4,1,25,3,1,green,blue,right,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
left,1,2.4342,4,2,26,5,1,blue,red,left,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
left,1,0.7081,4,3,27,0,1,red,red,left,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
down,0,0.7589,4,4,28,4,1,blue,blue,right,1,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
right,0,1.1209,4,5,29,1,1,red,green,down,0,Sharon,001,2022-02-14_14h25.28.087,stroop,2021.2.3,Win32,59.85873339
