resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,2.4638,0,0,0,2,1,green,green,down,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,3.7304,0,1,1,5,1,blue,red,left,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
down,1,2.0317,0,2,2,1,1,red,green,down,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,3.8095,0,3,3,0,1,red,red,left,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,2.7228,0,4,4,4,1,blue,blue,right,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,1.5095,0,5,5,3,1,green,blue,right,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
down,1,4.0218,1,0,6,1,1,red,green,down,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,2.9771,1,1,7,5,1,blue,red,left,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
down,1,2.6567,1,2,8,2,1,green,green,down,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,2.7984,1,3,9,0,1,red,red,left,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,2.9808,1,4,10,3,1,green,blue,right,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,1.4046,1,5,11,4,1,blue,blue,right,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
down,1,1.7931,2,0,12,2,1,green,green,down,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,1.3339,2,1,13,0,1,red,red,left,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,3.3571,2,2,14,3,1,green,blue,right,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,1.1202,2,3,15,5,1,blue,red,left,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
down,1,1.4165,2,4,16,1,1,red,green,down,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,1.4672,2,5,17,4,1,blue,blue,right,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,1.0822,3,0,18,3,1,green,blue,right,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,1.0558,3,1,19,4,1,blue,blue,right,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,1.0327,3,2,20,5,1,blue,red,left,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
down,1,1.1722,3,3,21,2,1,green,green,down,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,1.0583,3,4,22,0,1,red,red,left,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
down,1,1.6528,3,5,23,1,1,red,green,down,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
down,1,1.0541,4,0,24,2,1,green,green,down,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,1.9092,4,1,25,0,1,red,red,left,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,1.4349,4,2,26,4,1,blue,blue,right,1,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
left,1,2.3765,4,3,27,5,1,blue,red,left,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
right,1,1.2312,4,4,28,3,1,green,blue,right,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
down,1,1.2224,4,5,29,1,1,red,green,down,0,Sura,001,2022-02-20_16h27.33.991,stroop,2021.2.3,Win32,60.15037594
