resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.8305,0,0,0,5,1,blue,red,left,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,1,0.8483,0,1,1,1,1,red,green,down,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
left,1,0.8286,0,2,2,0,1,red,red,left,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,0,0.5853,0,3,3,2,1,green,green,down,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,1,0.7189,0,4,4,3,1,green,blue,right,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,1,0.7153,0,5,5,4,1,blue,blue,right,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,1,0.6382,1,0,6,3,1,green,blue,right,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,1,0.6497,1,1,7,4,1,blue,blue,right,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,1,0.8811,1,2,8,2,1,green,green,down,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
left,1,0.5445,1,3,9,5,1,blue,red,left,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,1,0.7009,1,4,10,1,1,red,green,down,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
left,1,0.7466,1,5,11,0,1,red,red,left,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,1,0.5736,2,0,12,4,1,blue,blue,right,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,1,0.6168,2,1,13,1,1,red,green,down,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
left,1,0.4503,2,2,14,5,1,blue,red,left,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
left,1,0.6806,2,3,15,0,1,red,red,left,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,1,0.4882,2,4,16,2,1,green,green,down,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,1,0.6167,2,5,17,3,1,green,blue,right,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,0,0.5333,3,0,18,0,1,red,red,left,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,1,0.6391,3,1,19,1,1,red,green,down,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,1,0.6138,3,2,20,4,1,blue,blue,right,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,0,0.795,3,3,21,3,1,green,blue,right,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,1,0.6827,3,4,22,2,1,green,green,down,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
left,1,1.3257,3,5,23,5,1,blue,red,left,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,1,0.9973,4,0,24,1,1,red,green,down,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
down,1,0.662,4,1,25,2,1,green,green,down,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
left,1,1.0644,4,2,26,5,1,blue,red,left,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
left,1,0.6833,4,3,27,0,1,red,red,left,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,1,1.2824,4,4,28,3,1,green,blue,right,0,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
right,1,0.6309,4,5,29,4,1,blue,blue,right,1,Trenchi,001,2022-02-16_11h30.49.989,stroop,2021.2.3,Win32,59.66943135
