resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,5.301,0,0,0,0,1,red,red,left,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,0,3.853,0,1,1,4,1,blue,blue,right,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,1,12.842,0,2,2,5,1,blue,red,left,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
down,1,3.169,0,3,3,2,1,green,green,down,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,0,1.935,0,4,4,1,1,red,green,down,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
right,1,9.74,0,5,5,3,1,green,blue,right,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
right,1,3.319,1,0,6,4,1,blue,blue,right,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
down,1,3.486,1,1,7,1,1,red,green,down,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,1,3.151,1,2,8,5,1,blue,red,left,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,1,3.92,1,3,9,0,1,red,red,left,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
right,1,4.237,1,4,10,3,1,green,blue,right,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
down,1,2.686,1,5,11,2,1,green,green,down,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
down,1,5.771,2,0,12,1,1,red,green,down,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
down,1,2.686,2,1,13,2,1,green,green,down,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
right,1,3.603,2,2,14,4,1,blue,blue,right,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
right,1,5.804,2,3,15,3,1,green,blue,right,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,1,3.319,2,4,16,5,1,blue,red,left,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,1,3.203,2,5,17,0,1,red,red,left,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
right,1,2.434,3,0,18,3,1,green,blue,right,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
down,1,2.45,3,1,19,1,1,red,green,down,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,1,3.337,3,2,20,0,1,red,red,left,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
down,1,2.085,3,3,21,2,1,green,green,down,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,1,2.284,3,4,22,5,1,blue,red,left,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
right,1,3.703,3,5,23,4,1,blue,blue,right,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
down,1,4.271,4,0,24,1,1,red,green,down,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
right,1,3.609,4,1,25,3,1,green,blue,right,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
right,1,1.615,4,2,26,4,1,blue,blue,right,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
down,1,1.086,4,3,27,2,1,green,green,down,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,1,3.673,4,4,28,5,1,blue,red,left,0,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
left,1,1.151,4,5,29,0,1,red,red,left,1,aliarmin,001,2022-03-12_18h34.29.260,stroop,2021.2.3,Win32,59.95203837
