resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,2.3599,0,0,0,1,1,red,green,down,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,1.2893,0,1,1,5,1,blue,red,left,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,0.4762,0,2,2,4,1,blue,blue,right,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
down,1,0.8707,0,3,3,2,1,green,green,down,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,2.4107,0,4,4,0,1,red,red,left,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,0.8532,0,5,5,3,1,green,blue,right,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,0.4831,1,0,6,5,1,blue,red,left,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,0.5071,1,1,7,4,1,blue,blue,right,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
down,1,0.6575,1,2,8,2,1,green,green,down,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,0.4679,1,3,9,0,1,red,red,left,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
down,1,3.6958,1,4,10,1,1,red,green,down,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,0.6896,1,5,11,3,1,green,blue,right,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
down,1,0.9111,2,0,12,1,1,red,green,down,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,3.0928,2,1,13,5,1,blue,red,left,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,0.5664,2,2,14,0,1,red,red,left,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,0.7693,2,3,15,3,1,green,blue,right,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,0.6082,2,4,16,4,1,blue,blue,right,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
down,1,1.6505,2,5,17,2,1,green,green,down,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,2.3612,3,0,18,5,1,blue,red,left,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,1.2451,3,1,19,0,1,red,red,left,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
down,1,1.0069,3,2,20,2,1,green,green,down,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,1.004,3,3,21,3,1,green,blue,right,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,0.5948,3,4,22,4,1,blue,blue,right,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
down,1,0.6912,3,5,23,1,1,red,green,down,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,0.8839,4,0,24,3,1,green,blue,right,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
right,1,0.6185,4,1,25,4,1,blue,blue,right,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,0.7117,4,2,26,5,1,blue,red,left,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
left,1,0.6342,4,3,27,0,1,red,red,left,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
down,1,1.5671,4,4,28,1,1,red,green,down,0,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
down,1,0.4366,4,5,29,2,1,green,green,down,1,amy,001,2022-03-08_19h31.44.561,stroop,2021.2.3,Win32,59.91970759
